gene,82QvsWT_baseMean,82QvsWT_log2FoldChange,82QvsWT_lfcSE,82QvsWT_stat,82QvsWT_pvalue,82QvsWT_padj,591vsWT_baseMean,591vsWT_log2FoldChange,591vsWT_lfcSE,591vsWT_stat,591vsWT_pvalue,591vsWT_padj,591vs82Q_baseMean,591vs82Q_log2FoldChange,591vs82Q_lfcSE,591vs82Q_stat,591vs82Q_pvalue,591vs82Q_padj
Grik1,911.647678419937,-1.095428991276,0.0741296734863494,-14.7771997333526,2.05535502907768e-49,7.41437867224023e-47,911.647678419937,-0.5804270289187,0.0729188456737324,-7.95990424088389,1.72172475074354e-15,4.0506444302493e-12,911.647678419937,0.515001962357298,0.075174347652244,6.85076729551007,7.34549218291479e-12,4.28363382518802e-10
Itpr1,107372.194431204,-1.46330059804415,0.0848152560646395,-17.2527993894039,1.06606595714652e-66,8.19294863413998e-64,107372.194431204,-0.337567239277622,0.0847926292520131,-3.98109177950285,6.8599453391251e-05,0.00470072759257718,107372.194431204,1.12573335876653,0.0848192941023861,13.2721377922297,3.35860615792954e-40,5.28827805957633e-37
Kcng4,6824.5800524542,-0.858932263255208,0.0688999726422629,-12.4663658099676,1.13903356328046e-35,1.99342151134112e-33,6824.5800524542,-0.433232925492209,0.0687700855665617,-6.29972933613538,2.9816583994662e-10,1.07920743504782e-07,6824.5800524542,0.425699337762999,0.0690126132358851,6.16842802790207,6.89722308488642e-10,2.55802791927693e-08
Trpc3,4073.26311218554,-1.39266225817019,0.069942232464445,-19.9116071806566,3.22791752327181e-88,1.14113340282705e-84,4073.26311218554,-0.573011716178323,0.0694274075217309,-8.25339353192714,1.53959033512879e-16,7.24428572355935e-13,4073.26311218554,0.819650541991871,0.070177713625505,11.6796415791748,1.61977075834959e-31,9.04981597890803e-29
