,Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
615,Rtn4rl1,0.310270692,1.239940327
616,Ryr1,-0.306451527,0.808628229
617,Ryr3,0.316288477,1.245123182
618,Samd8,-0.458910476,0.727535486
619,Sbk1,-0.796398088,0.575784921
620,Scd1,-0.283789851,0.821430345
621,Scn3a,-1.201471815,0.434831447
622,Scn3b,-1.152906344,0.44971835
623,Scn4b,-0.496320722,0.708912404
624,Scube3,-1.099477238,0.466685569
625,Sdc1,0.389667783,1.310091688
626,Sema3a,0.35094548,1.275396193
627,Sema3b,-0.620059224,0.650644218
628,Sema3c,-0.416118156,0.74943842
629,Sema7a,-0.311706392,0.805688243
630,Serpinb2,-0.746876463,0.595892311
631,Sertm1,-1.43764842,0.369168556
632,Sfrp2,-1.006881051,0.497620888
633,Sfrp5,-1.565924651,0.337761161
634,Sh2d3c,0.318151885,1.246732442
635,Shank2,-0.556390385,0.680001397
636,Shisa3,-1.590480453,0.332060851
637,Shisa6,-0.549749277,0.683138839
638,Shisa7,-0.476415655,0.718761154
639,Shox2,#NUM!,0
640,Shroom2,-0.561525098,0.677585497
641,Six3,#NUM!,0
642,Slc10a4,-2.124411001,0.229344625
643,Slc17a6,-1.653079297,0.317960775
644,Slc1a6,-0.374274344,0.771493366
645,Slc20a1,-0.49707533,0.708541701
646,Slc20a2,0.311110219,1.240662078
647,Slc24a4,-1.285019288,0.410365318
648,Slc27a2,-1.40433247,0.377792909
649,Slc2a1,-0.285084574,0.820693497
650,Slc35c1,-0.417285165,0.748832437
651,Slc35d3,-1.482290933,0.35792
652,Slc38a8,-1.438868615,0.368856454
653,Slc4a1,1.002146614,2.002978055
654,Slc4a2,-0.314570715,0.804090218
655,Slc4a5,-0.565272048,0.675827964
656,Slc5a7,-2.542216716,0.171678738
657,Slc6a11,-1.05672622,0.480721682
658,Slc6a2,-2.480055862,0.179237466
659,Slc6a6,-0.578156401,0.669819183
660,Slc7a3,-1.160198136,0.44745108
661,Slc9a3,-0.902175255,0.535079345
662,Slit1,-2.594387463,0.165581401
663,Slitrk6,-1.389312675,0.38174663
664,Smad6,-0.994645745,0.501859091
665,Sncg,-1.264595757,0.416215975
666,Sorcs2,-0.520905588,0.696934226
667,Sostdc1,-0.786387191,0.579794201
668,Spag5,-0.742575021,0.597671634
669,Spats2l,-0.550358399,0.682850471
670,Spns2,-0.724686182,0.605128659
671,Spon2,1.659579821,3.159244995
672,Spry4,0.529774749,1.44370377
673,Srl,-0.919393863,0.528731116
674,Sst,-2.144212521,0.226218289
675,Sstr1,-0.945035232,0.519416867
676,Sstr2,-1.343761944,0.393991949
677,St3gal1,-0.802933526,0.573182502
678,Stac,-0.925720333,0.526417614
679,Stc1,-1.157160402,0.448394224
680,Steap1,-1.240071644,0.423351632
681,Stk17b,-0.871073304,0.546739948
682,Stk32a,-0.320229288,0.800942574
683,Stk32b,-2.971247996,0.127516161
684,Stk33,-1.319446436,0.400688654
685,Stra6,-0.676465857,0.625696155
686,Strip2,-0.481775999,0.716095547
687,Strn3,-0.437654901,0.738333795
688,Stx1a,-0.612728239,0.653958849
689,Stxbp6,-0.503367707,0.705458095
690,Sulf2,-0.454170372,0.729929801
691,Svil,-0.494591474,0.709762632
692,Sycp1,-0.3657223,0.776080225
693,Synm,-0.403754175,0.755888751
694,Syt16,-0.621252632,0.650106223
695,Syt5,-0.768515627,0.587021144
696,Tac1,-3.228272327,0.10670707
697,Tacr1,-3.036417293,0.121884173
698,Tacr3,-3.807690759,0.071411946
699,Tal1,-1.369431428,0.387043754
700,Tanc2,-0.390132974,0.76305927
701,Tcf7l2,-2.221226527,0.214458956
702,Tef,-0.377802579,0.769608918
703,Tekt1,-0.784890677,0.580395936
704,Tekt5,-1.067083711,0.477282812
705,Tenm4,-0.342057146,0.788915591
706,Tesc,0.378826567,1.300283824
707,Tex261,-0.301648377,0.811324873
708,Th,-0.885458827,0.541315338
709,Thbs1,0.483841722,1.398462649
710,Thsd7b,-1.221575299,0.428814234
711,Thy1,-0.316693958,0.802907693
712,Timp2,-0.551126019,0.682487241
713,Tle3,0.381959478,1.303110548
714,Tlx3,0.628019143,1.545441606
715,Tmeff1,-0.331697572,0.794600953
716,Tmem123,-0.397538989,0.759152174
717,Tmem130,-0.379855141,0.768514752
718,Tmem132b,-0.501748408,0.706250355
719,Tmem158,-0.542609685,0.686527927
720,Tmem178,0.274959388,1.209960028
721,Tmem200b,-0.802475292,0.573364588
722,Tmem63c,0.370496384,1.292797563
723,Tmem64,-0.302220668,0.811003099
724,Tmem72,-1.294443234,0.407693473
725,Tmem91,-0.703729246,0.613983059
726,Tmprss11a,-1.888815416,0.270028686
727,Tmtc1,-0.720077639,0.607064772
728,Tnfrsf21,-0.301929259,0.811166929
729,Tox,-0.686682958,0.621280657
730,Tox2,-1.062863364,0.478681062
731,Tpbg,-0.886152773,0.541055025
732,Tpd52l1,-1.013327282,0.495402385
733,Tph2,-2.22020957,0.214610182
734,Tpm2,-0.494396191,0.709858712
735,Trabd2b,-1.358642649,0.389948999
736,Trhde,0.392519782,1.31268411
737,Trim16,-0.694318516,0.618001174
738,Trpc3,-0.681465079,0.623531747
739,Trpv4,-0.938954412,0.521610779
740,Tsc22d3,-0.389837058,0.763215799
741,Tshz2,-0.530375041,0.692374722
742,Tspan11,-1.293333297,0.408007253
743,Tspan14,-0.317710116,0.802342367
744,Tspan18,0.599926447,1.515639293
745,Tspan2,-0.403961315,0.75578023
746,Ttll5,-0.548000967,0.683967194
747,Tuba8,-0.57480846,0.671375381
748,Tusc3,-0.414451079,0.750304918
749,Uba5,0.362448848,1.28560625
750,Ugt8a,-0.37853105,0.769220411
751,Unc5d,-0.738424487,0.59939357
752,Vamp1,-0.314393836,0.804188809
753,Vimp,-0.526072643,0.6944426
754,Vip,-3.848997306,0.069396307
755,Vit,-1.003329828,0.4988473
756,Vstm2a,-0.478144974,0.717900111
757,Vstm2b,-0.597815716,0.660753599
758,Vstm2l,-0.360171827,0.779071786
759,Vstm5,-1.12500634,0.458500007
760,Vwa3a,-0.705452499,0.613250114
761,Vwa5b1,-1.255925986,0.418724725
762,Vwa7,0.440477286,1.357053206
763,Vwc2l,-2.174535155,0.221513241
764,Wdr16,-0.884844613,0.541545847
765,Wdr52,-0.90003898,0.535872253
766,Wdr63,-1.027393574,0.490595677
767,Wdr65,-1.141130192,0.453404246
768,Wdr78,-0.54181971,0.686903952
769,Wee1,-0.403462651,0.756041509
770,Wiz,-0.491524153,0.711273267
771,Wls,-0.28822777,0.8189074
772,Wnt3,-0.391689679,0.762236353
773,Wsb2,-0.318964966,0.801644796
774,Wscd2,0.35058589,1.275078341
775,Wwc2,-0.326566926,0.797431817
776,Xist,-1.659843121,0.31647356
777,Xkr7,0.47278119,1.387782221
778,Ywhah,-0.662875665,0.631618063
779,Zbtb16,-2.210481854,0.216062132
780,Zbtb21,0.321307645,1.249462536
781,Zbtb7c,-0.959001873,0.514412686
782,Zcchc12,-1.949501832,0.258905617
783,Zdbf2,-0.763848597,0.588923196
784,Zdhhc14,-0.53342846,0.690910882
785,Zfhx3,-1.514503502,0.350016903
786,Zfhx4,-0.656030371,0.634622083
787,Zfp185,-0.890244463,0.539522689
788,Zfp385c,-0.555901861,0.680231697
789,Zfp869,0.308458941,1.238384175
790,Zfp92,-1.726651484,0.302152444
791,Zkscan16,-0.494520071,0.709797761
792,Zmynd10,-0.816065705,0.567988764
793,Zscan22,0.386499231,1.307217526
