,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
191,,Kcnip1,Ttll5,Pspc1,,Nfix
192,,Kcnma1,Tuba8,Mpp1,,Cbln1
193,,Kcnmb4,Ugt8a,Wdr26,,Plekhg4
194,,Kcnq5,Vimp,Icam1,,Mtss1l
195,,Kcnt2,Wiz,Doc2a,,Bcar1
196,,Kctd12,Wscd2,Cgref1,,Cntnap4
197,,Kitl,Ywhah,Brca1,,Cdyl2
198,,Klhl1,Zcchc12,Cald1,,Ccsap
199,,Klhl4,Zdhhc14,Tpm2,,Agt
200,,Ksr2,Zfp385c,Kcnj6,,2310022B05Rik
201,,Lamc2,,Shmt1,,AK129341
202,,Lancl1,,Rgs11,,Trpc6
203,,Ldb2,,Mark1,,Cntn5
204,,Lhpp,,Nol6,,Panx1
205,,Lhx2,,Rasa1,,Ntm
206,,Lhx5,,Kifc2,,Ubash3b
207,,Lhx9,,Atf2,,Mcam
208,,Lonrf1,,Parp12,,Usp28
209,,Lonrf3,,Nova1,,Arhgap20
210,,Lrp8,,Sox6,,Rdx
211,,Lrrfip1,,Pom121,,Sema7a
212,,Lrtm2,,Gtf2i,,6030419C18Rik
213,,Lypd6b,,Etnk1,,Tle3
214,,Mal,,Sox4,,Coro2b
215,,Mal2,,Fbxo11,,Megf11
216,,Mast4,,Hmgn3,,Rab11a
217,,Mdfi,,Pa2g4,,Usp3
218,,Mdga2,,Ppp1r8,,Unc13c
219,,Meis2,,Mark2,,Hmgn3
220,,Mfsd2a,,Scyl1,,Prss35
221,,Mlph,,Laptm4b,,Snap91
222,,Mmp12,,Psme3,,Zic1
223,,Mpped1,,Edn3,,Chst2
224,,Mprip,,Tfam,,Pls1
225,,Mtss1,,Asl,,Atp1b3
226,,Mustn1,,Edem1,,Clstn2
227,,Mxi1,,Cul4a,,Nck1
228,,Mycl,,Arhgef5,,Cpne4
229,,Myo10,,Ngfr,,Stac
230,,Myrf,,Lrrtm1,,Clasp2
231,,Ndst4,,Scpep1,,Snrk
232,,Nek2,,Snx17,,Ccdc120
233,,Nell1,,Fkbp1a,,Xk
234,,Neu2,,2510002D24Rik,,Usp11
235,,Nfil3,,Mrpl13,,Zcchc12
236,,Ngef,,Egfr,,Aff2
237,,Nkain1,,Acsl1,,Tab3
238,,Nlrp10,,Arhgap5,,Gprasp2
239,,Nog,,Baiap2,,Nrk
240,,Npr1,,Bcar1,,Tro
241,,Npy5r,,Camk1d,,Cnksr2
242,,Nr4a2,,Col18a1,,Glra2
243,,Nrgn,,Creg1,,Atxn2
244,,Nrxn3,,Dap,,Drosha
245,,Nsg1,,Kalrn,,Basp1
246,,Ntf3,,Kcnd2,,Dap
247,,Nup93,,Myh9,,Zfpm2
248,,Opalin,,Nomo1,,Mal2
249,,Opn3,,Ppargc1a,,Trib1
250,,Oprl1,,Sec61a1,,Fam84b
251,,Otoa,,Sec63,,Khdrbs3
252,,Pappa,,Slc25a29,,Fam135b
253,,Pcp2,,Spag5,,Bai1
254,,Pcp4,,Stk17b,,Mroh1
255,,Pde5a,,Trim62,,Scx
256,,Pde9a,,Zdhhc14,,Scrt1
257,,Peg10,,Znrf1,,Pvalb
258,,Pgr,,,,Desi1
259,,Pkp3,,,,1500009C09Rik
260,,Plcb3,,,,Tcf20
261,,Plcl1,,,,Sult4a1
262,,Plekhd1,,,,Cerk
263,,Plxdc1,,,,Slc38a2
264,,Plxdc2,,,,Zfp385a
265,,Pnma2,,,,4930452B06Rik
266,,Pogk,,,,Gng2
267,,Polr3k,,,,Samd8
268,,Ppapdc2,,,,Prkcd
269,,Ppp1r16b,,,,Galnt15
270,,Ppp1r17,,,,Wapal
271,,Ppp1r1b,,,,Tspan14
272,,Ppp4r4,,,,Psme1
273,,Prkcg,,,,Clu
274,,Prmt8,,,,Rhobtb2
275,,Psd2,,,,Phyhip
276,,Ptk2b,,,,Bmp1
277,,Ptprm,,,,Hr
278,,Ptprr,,,,Dgkh
279,,Rab3d,,,,Ipo5
280,,Rasgrf2,,,,Pcca
281,,Rdh11,,,,Zdhhc14
282,,Rell1,,,,Qk
283,,Resp18,,,,Gng13
284,,Rgs10,,,,Haghl
285,,Rgs22,,,,Grm4
286,,Rgs8,,,,Fkbp5
287,,Rhobtb2,,,,Wiz
288,,Rmdn3,,,,Clic1
289,,Rnf122,,,,Gabbr1
290,,Rnf19b,,,,Mdfi
291,,Robo2,,,,Foxp4
292,,Rtel1,,,,Mllt1
293,,Rtkn,,,,Tubb4a
294,,Rtn4rl1,,,,Ehd3
295,,Ryr1,,,,Strn
296,,Ryr3,,,,Atl2
297,,Samd8,,,,Arhgef33
298,,Sbk1,,,,Cox7a2l
299,,Scd1,,,,Srl
300,,Scn4b,,,,Nde1
301,,Sdc1,,,,Gp1bb
302,,Sema3a,,,,Sept5
303,,Sema7a,,,,Bdh1
304,,Sfrp2,,,,Dlg1
305,,Shank2,,,,Tfrc
306,,Shisa3,,,,Parp9
307,,Shisa6,,,,Boc
308,,Shox2,,,,Grik1
309,,Slc1a6,,,,Tiam1
310,,Slc20a1,,,,Paxbp1
311,,Slc35c1,,,,Ets2
312,,Slc4a1,,,,Igsf5
313,,Slc6a6,,,,Pcp4
314,,Slc9a3,,,,Dscam
315,,Slitrk6,,,,Pitpnm1
316,,Sncg,,,,Nrxn2
317,,Spag5,,,,Plcb3
318,,Spats2l,,,,Flrt1
319,,Spns2,,,,Dagla
320,,Spry4,,,,Syt7
321,,Srl,,,,Gnaq
322,,Sst,,,,Ppapdc2
323,,Stac,,,,Cnnm1
324,,Stk17b,,,,Ldb1
325,,Strip2,,,,Neurl1a
326,,Strn3,,,,Sorcs3
327,,Stx1a,,,,A830018L16Rik
328,,Svil,,,,Tfap2b
329,,Sycp1,,,,Rims1
330,,Syt16,,,,Bag2
331,,Tacr3,,,,Dst
332,,Tef,,,,Rev1
333,,Tesc,,,,Stat1
334,,Tex261,,,,Nab1
335,,Th,,,,Pms1
336,,Timp2,,,,Stk17b
337,,Tle3,,,,Fzd7
338,,Tmem123,,,,Igfbp5
339,,Tmem130,,,,Scg2
340,,Tmem158,,,,Nyap2
341,,Tmem200b,,,,Dner
342,,Tmem64,,,,2810459M11Rik
343,,Tmtc1,,,,Efhd1
344,,Tpd52l1,,,,Hes6
345,,Tpm2,,,,Rnf152
346,,Trabd2b,,,,Mgat5
347,,Trim16,,,,Srgap2
348,,Trpc3,,,,Cyb5r1
349,,Tspan11,,,,Dhx9
350,,Tspan14,,,,Rgs8
351,,Ttll5,,,,Astn1
352,,Tuba8,,,,Creg1
353,,Unc5d,,,,6330403A02Rik
354,,Vimp,,,,Dusp10
355,,Vip,,,,Ss18
356,,Vwc2l,,,,Nol4
357,,Wiz,,,,Mapre2
358,,Wnt3,,,,Nrep
359,,Wsb2,,,,Cdc23
360,,Ywhah,,,,Psd2
361,,Zbtb7c,,,,Arhgap26
362,,Zcchc12,,,,Cdo1
363,,Zdhhc14,,,,Arhgef37
364,,Zfp385c,,,,Pcyox1l
365,,Zfp92,,,,Cep76
366,,,,,,Dym
367,,,,,,St8sia5
368,,,,,,Galr1
369,,,,,,Fam107b
370,,,,,,Camk1d
371,,,,,,Vim
372,,,,,,Cacnb2
373,,,,,,Gpr158
374,,,,,,Tor4a
375,,,,,,Col5a1
376,,,,,,Fnbp1
377,,,,,,Dnm1
378,,,,,,Garnl3
379,,,,,,Nr4a2
380,,,,,,Gad1
381,,,,,,Itgav
382,,,,,,Pacsin3
383,,,,,,Dgkz
384,,,,,,Phf21a
385,,,,,,Cry2
386,,,,,,Lrrc4c
387,,,,,,Bdnf
388,,,,,,Meis2
389,,,,,,Bmf
390,,,,,,Rmdn3
391,,,,,,Itpka
392,,,,,,Hdc
393,,,,,,Mal
394,,,,,,Slc20a1
395,,,,,,Stk35
396,,,,,,Rassf2
397,,,,,,Prokr2
398,,,,,,Btbd3
399,,,,,,Tpx2
400,,,,,,Soga1
401,,,,,,Slc32a1
402,,,,,,Ppp1r16b
403,,,,,,Rims4
404,,,,,,Ywhab
405,,,,,,Eya2
406,,,,,,Hrh3
407,,,,,,Kcnq2
408,,,,,,Rtel1
409,,,,,,Oprl1
410,,,,,,Hps3
411,,,,,,Tbl1xr1
412,,,,,,Anxa5
413,,,,,,Trpc3
414,,,,,,Elf2
415,,,,,,Frem2
416,,,,,,Med12l
417,,,,,,Lxn
418,,,,,,Trim59
419,,,,,,Fnip2
420,,,,,,Ppid
421,,,,,,Gria2
422,,,,,,Mef2d
423,,,,,,Cct3
424,,,,,,Npr1
425,,,,,,Txnip
426,,,,,,Ankrd34a
427,,,,,,Slc6a17
428,,,,,,Ampd2
429,,,,,,Ntng1
430,,,,,,Olfm3
431,,,,,,F3
432,,,,,,Ndst3
433,,,,,,Gbp3
434,,,,,,Slc44a5
435,,,,,,Fam110b
436,,,,,,Car8
437,,,,,,Chd7
438,,,,,,Asph
439,,,,,,Calb1
440,,,,,,Gpr63
441,,,,,,Pnrc1
442,,,,,,Ddx58
443,,,,,,Ccdc107
444,,,,,,Gabbr2
445,,,,,,Svep1
446,,,,,,Astn2
447,,,,,,Mpdz
448,,,,,,Sh3gl2
449,,,,,,Adamtsl1
450,,,,,,Rraga
451,,,,,,Cyp2j6
452,,,,,,Lrp8
453,,,,,,Akr1a1
454,,,,,,Mfsd2a
455,,,,,,Gnl2
456,,,,,,Rnf19b
457,,,,,,Bsdc1
458,,,,,,Nkain1
459,,,,,,Ptpru
460,,,,,,Ece1
461,,,,,,Pdpn
462,,,,,,Fbxo2
463,,,,,,Icmt
464,,,,,,Ajap1
465,,,,,,Ski
466,,,,,,Ifitm3
467,,,,,,Car7
468,,,,,,Elmo3
469,,,,,,Kcng4
470,,,,,,Gm15513
471,,,,,,Eps8l2
472,,,,,,Ifit1
473,,,,,,Rorc
474,,,,,,Trabd2b
475,,,,,,Gnmt
476,,,,,,Fgf7
477,,,,,,Iltifb
478,,,,,,Sebox
479,,,,,,Cpsf4l
480,,,,,,Gm5083
481,,,,,,Slc9a3
482,,,,,,Sowahb
483,,,,,,Ppp1r17
484,,,,,,Pkp3
485,,,,,,Epor
486,,,,,,Amica1
487,,,,,,Aqp6
488,,,,,,2410124H12Rik
489,,,,,,Gm13944
490,,,,,,Car9
491,,,,,,Tmem125
492,,,,,,Tmem200b
493,,,,,,Nlrp10
494,,,,,,Gm15083
495,,,,,,Hspa14
