,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk,ATXN1_82Q_5_Wk-ATXN1_154Q_5_12_Wk-ATXN2_72Q_8_Wk,ATXN1_82Q_5_Wk-ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk,ATXN1_154Q_5_12_Wk-ATXN2_127Q_6_Wk-ATXN2_72Q_8_Wk
0,Cacna1g,Trpc3,Glra2,Trpc3
1,Kcnma1,,Grik1,Kcnc1
2,Ryr1,,Kcna6,Kcnq2
3,Trpc3,,Kcnc3,Kcnd2
4,,,Kcng4,
5,,,Trpc3,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
