,Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
2616,Clec16a,-0.41724690799999997,0.748852295
2617,Snn,0.26498749899999996,1.201625637
2618,Gm23935,-1.20353055,0.43421138200000003
2619,Gspt1,-0.359281361,0.7795527959999999
2620,Cpped1,0.14181475300000002,1.103292065
2621,2900011O08Rik,0.182623774,1.134946092
2622,Marf1,-0.12246597599999999,0.918616132
2623,Nde1,0.156602457,1.114659026
2624,Prkdc,-0.156424195,0.897246195
2625,Ppm1f,0.131187201,1.095194571
2626,Ppil2,0.155639961,1.113915628
2627,Pi4ka,-0.261038184,0.834487194
2628,Crkl,-0.360628843,0.7788250309999999
2629,P2rx6,0.6360522510000001,1.554070821
2630,Med15,-0.217206717,0.860229364
2631,Dgcr2,-0.232649997,0.851070177
2632,Slc25a1,0.197732985,1.146894737
2633,Prodh,0.32540828,1.25301899
2634,Ranbp1,0.22792258899999998,1.171147339
2635,Trmt2a,0.151737168,1.1109063240000001
2636,Arvcf,0.225351587,1.1690621159999999
2637,Gp1bb,-0.214499071,0.861845355
2638,Sept5,-0.207607493,0.8659721340000001
2639,Ufd1l,0.192141786,1.142458521
2640,2510002D24Rik,0.195314392,1.144973646
2641,Mrpl40,0.218374193,1.16342176
2642,Hira,-0.348808765,0.785232197
2643,B3gnt5,-0.723633468,0.605570374
2644,Dvl3,-0.550326169,0.682865727
2645,Ap2m1,0.14813858300000002,1.108138789
2646,Abcf3,0.115207441,1.083130775
2647,Ephb3,-0.42413988700000005,0.7452829259999999
2648,Vps8,-0.103332095,0.930880515
2649,Map3k13,-0.479445815,0.7172530909999999
2650,Tmem41a,-0.19871467399999998,0.8713264999999999
2651,Senp2,-0.297546744,0.81363478
2652,Etv5,-0.664275348,0.6310055729999999
2653,Dgkg,-0.203528032,0.86842428
2654,Sst,1.474684119,2.7792278560000003
2655,Bcl6,-0.369533777,0.774032594
2656,Lpp,-0.219370559,0.8589401059999999
2657,Uts2b,-1.366719961,0.387771866
2658,Ccdc50,-0.35955852299999996,0.7794030470000001
2659,Opa1,-0.143991813,0.905011599
2660,Atp13a3,-0.256977141,0.836839502
2661,Tmem44,0.407051504,1.325973096
2662,Lsg1,0.136388049,1.099149821
2663,Ppp1r2,-0.135783449,0.9101754329999999
2664,Bdh1,0.201537818,1.1499234440000001
2665,Dlg1,-0.143759564,0.905157302
2666,Senp5,-0.212195083,0.863222824
2667,Pak2,-0.33578321299999997,0.792353865
2668,Rnf168,0.145197406,1.105881963
2669,Ubxn7,-0.193179563,0.8746758929999999
2670,Tfrc,-0.20073190300000002,0.87010903
2671,Snx4,0.221161842,1.165671957
2672,Zfp148,-0.120744117,0.9197131559999999
2673,Umps,0.17203699100000003,1.126648115
2674,Kalrn,-0.300255388,0.812108623
2675,Mylk,0.27320084,1.208486067
2676,Parp9,0.287636459,1.2206388879999999
2677,Kpna1,-0.119181566,0.920709817
2678,Cd86,0.583176672,1.4981443859999999
2679,Stxbp5l,-0.205084369,0.867487955
2680,Fstl1,0.25208658,1.1909283179999999
2681,Lrrc58,-0.317431897,0.802497111
2682,Gm15725,-0.212425143,0.8630851820000001
2683,Gsk3b,-0.338798046,0.790699794
2684,Arhgap31,-0.711039245,0.610879933
2685,Lsamp,-0.284973413,0.820756734
2686,Gap43,0.542307794,1.456300213
2687,Naa50,-0.447694033,0.733213862
2688,Gm608,-0.178880736,0.8833880759999999
2689,Boc,-0.256698072,0.837001392
2690,Gtpbp8,0.154026017,1.112670186
2691,Ccdc80,0.46416875700000004,1.37952228
2692,Tagln3,0.151207492,1.110498537
2693,Phldb2,0.376924783,1.298570898
2694,Plcxd2,-0.128339007,0.9148841609999999
2695,Dzip3,-0.14437888599999998,0.904768818
2696,Ift57,-0.149511129,0.9015559120000001
2697,Cblb,-0.272152245,0.8280832709999999
2698,Nxpe3,-0.27262681699999997,0.827810919
2699,Rpl24,-0.20854392600000002,0.865410226
2700,Senp7,-0.164409816,0.892293468
2701,Impg2,-1.23753345,0.42409710799999994
2702,Dcbld2,-0.126625404,0.915971488
2703,Cldn25,-0.12149366699999999,0.919235445
2704,Mina,0.28079497800000003,1.214864135
2705,Zfp654,-0.47211688799999996,0.720906025
2706,Cggbp1,-0.223966435,0.856208205
2707,Htr1f,1.3805902,2.603748676
2708,Cadm2,-0.378299683,0.769343782
2709,Robo2,-0.255974501,0.8374212879999999
2710,Rbm11,0.315247416,1.244225015
2711,Mrpl39,0.155977771,1.114176483
2712,Adamts1,-0.209686428,0.86472516
2713,Ltn1,-0.185722992,0.879208359
2714,Bach1,0.152977988,1.1118621929999999
2715,Grik1,-0.688174665,0.620638601
2716,Tiam1,-0.37326005100000004,0.772035958
2717,Sod1,0.156373709,1.114482304
2718,Hunk,-0.634715974,0.644067601
2719,Synj1,-0.33567613399999996,0.7924126770000001
2720,Paxbp1,-0.393430978,0.761316907
2721,Ifnar2,0.154450044,1.112997262
2722,Il10rb,0.347091883,1.2719940159999998
2723,Ifnar1,0.148755014,1.108612373
2724,Dnajc28,0.199768573,1.148514104
2725,Itsn1,-0.196845785,0.8724559609999999
2726,Slc5a3,-0.42230966700000006,0.746229
2727,Cbr1,0.163775012,1.120214503
2728,Dopey2,-0.376222283,0.770452392
2729,Chaf1b,0.928010762,1.902650745
2730,Ttc3,-0.129364222,0.9142342529999999
2731,Dyrk1a,-0.165467739,0.891639392
2732,Kcnj6,-0.172759458,0.8871442070000001
2733,Erg,0.44773104799999996,1.3638935490000001
2734,Ets2,-0.21291370699999998,0.86279295
2735,Brwd1,-0.137968704,0.90879783
2736,Igsf5,-0.714097619,0.609586298
2737,Pcp4,-0.826222718,0.5640039929999999
2738,Dscam,-0.23148331,0.8517587040000001
2739,Lrp5,-0.312911063,0.805015762
2740,Unc93b1,0.301167339,1.232140982
2741,Ndufv1,0.137961566,1.1003492959999999
2742,Pitpnm1,-0.296423554,0.814268471
2743,Pcx,-0.17150315600000002,0.887917071
2744,Rce1,0.205738693,1.1532767
2745,Sptbn2,-0.70193994,0.614745025
2746,Yif1a,0.169922113,1.124997748
2747,Pacs1,-0.306715786,0.808480125
2748,Gal3st3,-0.9514080290000001,0.517127514
2749,Drap1,0.168271765,1.12371156
2750,Fibp,0.251196921,1.1901941409999999
2751,Cfl1,0.180755928,1.133477637
2752,Snx32,0.211460993,1.157860136
2753,Kat5,0.164685726,1.120921872
2754,Sipa1,0.370072335,1.292417629
2755,Pcnxl3,-0.37073507899999997,0.773388341
2756,Scyl1,0.138858363,1.1010334990000001
2757,Frmd8,-0.24037011,0.8465281159999999
2758,Tigd3,0.282302648,1.2161343759999999
2759,Syvn1,-0.35720670200000004,0.780674633
2760,Zfpl1,0.184448048,1.136382129
2761,Snx15,0.22253060300000002,1.1667784159999999
2762,Arl2,0.19400252399999998,1.143932975
2763,Ppp2r5b,0.184007555,1.136035214
2764,Sf1,-0.225314215,0.8554086999999999
2765,Nrxn2,-0.44203186,0.736097175
2766,Bad,0.21463321100000002,1.1604088559999999
2767,Plcb3,-0.9819219709999999,0.506304787
2768,Ppp1r14b,-0.39642208799999995,0.759740119
2769,Dnajc4,0.203244418,1.151284523
2770,Macrod1,0.23447574699999998,1.176479145
2771,Flrt1,-0.35823714700000003,0.7801172359999999
2772,Otub1,0.186313063,1.1378521129999999
2773,Mark2,-0.335957468,0.7922581670000001
2774,AI846148,0.211077705,1.157552562
2775,Atl3,-0.14924675199999998,0.9017211390000001
2776,Slc22a8,0.458191842,1.373818904
2777,Slc3a2,0.166873738,1.122623168
2778,Snord22,-0.588573217,0.665000247
2779,Nxf1,0.138257071,1.100574701
2780,Hnrnpul2,-0.414999843,0.7500195759999999
2781,Gng3,0.302277148,1.233089184
2782,Lrrn4cl,0.512030244,1.4260556119999999
2783,Ubxn1,0.29128924,1.223733358
2784,AI462493,0.19397962100000002,1.143914815
2785,1810009A15Rik,0.308859944,1.238728437
2786,Ints5,-0.336410761,0.79200928
2787,Ganab,-0.093991108,0.9369272209999999
2788,Mta2,0.161373824,1.118351595
2789,Rab3il1,0.337145418,1.263254586
2790,Fads2,0.22968207300000001,1.17257652
2791,Myrf,-0.604377747,0.657755017
2792,Dagla,-1.5893524890000001,0.332320572
2793,Syt7,-0.567138731,0.674954085
2794,Osbp,-0.264278263,0.8326151629999999
2795,Gnaq,-0.41019648299999995,0.75252088
2796,Vps13a,-0.22967051,0.852829643
2797,Ostf1,0.203499824,1.151488357
2798,Gda,1.312707067,2.484072131
2799,Trpm3,-0.219958052,0.858590401
2800,Klf9,0.191362366,1.141841471
2801,Pgm5,-0.368012726,0.774849096
2802,Kank1,-0.278062522,0.8246978079999999
2803,Smarca2,-0.15661887800000002,0.897125125
2804,Vldlr,-0.265976459,0.831635668
2805,Rfx3,-0.41313791299999997,0.75098817
2806,Slc1a1,0.154377073,1.112940969
2807,Ppapdc2,-0.646192491,0.638964422
2808,Ak3,0.123315997,1.089235567
2809,Ermp1,-0.16896852899999998,0.889478397
2810,Gldc,-1.330958366,0.39750409700000006
2811,Mbl2,4.211180687,18.52216309
2812,Prkg1,-0.9007772209999999,0.5355981120000001
2813,Cstf2t,0.13599193099999998,1.098848072
2814,Pten,-0.176860899,0.884625725
2815,Ifit2,0.328077793,1.25533968
2816,Pank1,-0.22238022100000002,0.857150106
2817,Htr7,0.743337095,1.674043591
2818,Pcgf5,-0.308130503,0.807687713
2819,Hectd2,-0.24075456,0.846302563
2820,Tnks2,-0.10686977199999999,0.928600671
2821,Cpeb3,-0.483567297,0.715206971
2822,Ide,-0.137633964,0.9090087179999999
2823,Lgi1,-0.21213929399999998,0.863256206
2824,Plce1,-0.269486099,0.8296150090000001
2825,Entpd1,0.278433293,1.212877035
2826,Gm340,-0.283015609,0.821871295
2827,Exosc1,0.238006443,1.1793618590000001
2828,Pi4k2a,-0.30288562199999997,0.810629385
2829,Hps1,0.304875821,1.235312304
2830,Cnnm1,-0.364626855,0.77666973
2831,Slc25a28,0.275649756,1.210539165
2832,Entpd7,-0.36223080799999996,0.7779607059999999
2833,Scd3,-0.685117245,0.62195528
2834,Scd1,-0.29195103,0.816796715
2835,Hif1an,-0.21652309600000003,0.86063708
2836,Pax2,-0.709389687,0.611578805
2837,Sema4g,-0.317572117,0.802419117
2838,Poll,0.18711997600000002,1.138488703
2839,Dpcd,0.279064357,1.213407688
2840,Fbxw4,-0.293341756,0.8160097209999999
2841,Ldb1,0.22066550000000001,1.1652709890000001
2842,Pprc1,-0.334206641,0.79322022
2843,Gbf1,-0.33813709,0.791062128
2844,Cuedc2,0.176033422,1.129773387
2845,Sufu,-0.27699855,0.825306238
2846,Nt5c2,0.101819359,1.073125911
2847,Neurl1a,-0.449921936,0.73208246
2848,Obfc1,0.313165784,1.242431045
2849,Sfr1,0.260508001,1.1979004340000001
2850,Sorcs3,-0.26142981600000004,0.834260696
2851,Mxi1,0.231516004,1.174068028
2852,Smndc1,-0.29305106399999997,0.8161741570000001
2853,Gpam,0.086851135,1.062049593
2854,Zdhhc6,0.163042396,1.119645791
2855,Vti1a,0.137283787,1.0998324720000001
2856,Dclre1a,0.157653868,1.115471666
2857,Ablim1,-0.19023489999999998,0.8764630040000001
2858,Fam160b1,-0.136140391,0.9099502709999999
2859,Trub1,0.174216554,1.1283514940000001
2860,Atrnl1,-0.34980809700000004,0.7846884679999999
2861,Hspa12a,-0.49899616799999996,0.707598959
2862,Eno4,0.5401007529999999,1.454074062
2863,4930506M07Rik,0.16033039999999998,1.117543044
2864,Pdzd8,-0.17755058399999998,0.884202927
2865,D19Ertd737e,0.179980397,1.132868492
2866,Cacul1,-0.156860635,0.8969748040000001
2867,Sfxn4,0.38141557600000003,1.302619362
2868,5830428H23Rik,-0.349577039,0.784814151
2869,St18,-0.224012166,0.856181064
2870,Mybl1,-0.35590717200000005,0.781378155
2871,Vcpip1,-0.328967482,0.796106043
2872,Arfgef1,-0.539390326,0.688061618
2873,Prex2,-0.323173434,0.799309736
2874,A830018L16Rik,0.47964671299999995,1.394402163
2875,Slco5a1,-0.334639132,0.792982464
2876,Ncoa2,-0.295303166,0.8149010720000001
2877,Tram1,0.13392327699999998,1.097273583
2878,Ube2w,-0.166832536,0.890796295
2879,Tmem70,-0.394094735,0.760966719
2880,Tfap2d,3.8845400810000004,14.76940786
2881,Tfap2b,-0.37757957,0.7697278909999999
2882,Mcm3,0.39427903299999995,1.3142858
2883,Paqr8,-0.17063266,0.888452985
2884,Kcnq5,0.771481037,1.707021273
2885,Rims1,-0.150015905,0.901240527
2886,B3gat2,-0.365080178,0.7764257240000001
2887,Smap1,-0.35338264700000005,0.78274666
2888,Lmbrd1,-0.210751534,0.864086991
2889,Bai3,-0.331329882,0.794803493
2890,Ptp4a1,-0.42912691799999997,0.7427111190000001
2891,Khdrbs2,0.230061397,1.172884863
2892,Bag2,0.24317297300000001,1.183592921
2893,Zfp451,-0.32606086100000004,0.797711587
2894,Dst,-0.252194762,0.839618138
2895,Ccdc115,0.20524509300000002,1.152882188
2896,Arhgef4,0.22517076100000002,1.168915596
2897,C230030N03Rik,0.416979462,1.3351292959999999
2898,Uggt1,-0.159306526,0.8954553940000001
2899,Arid5a,0.374512881,1.296401757
2900,Kansl3,-0.18175436600000003,0.881630252
2901,Lman2l,-0.278912872,0.82421186
2902,Actr1b,0.174733937,1.128756219
2903,Tmem131,-0.363981754,0.7770170959999999
2904,Inpp4a,-1.012640238,0.49563836299999997
2905,Coa5,-0.11466988199999999,0.9235936240000001
2906,Tsga10,-0.25660938,0.83705285
2907,Eif5b,-0.39289903600000003,0.761597667
2908,Rev1,-0.140961155,0.9069147470000001
2909,Aff3,-0.188059598,0.877785535
2910,Lonrf2,-0.282806307,0.821990538
2911,Cnot11,0.111905724,1.080654782
2912,Rnf149,0.190981939,1.141540417
2913,Slc9a2,0.502021968,1.4161970030000002
2914,Gpr45,0.5983125570000001,1.51394475
2915,Uxs1,-0.205246732,0.867390332
2916,Tpp2,-0.141684845,0.9064599320000001
2917,Col5a2,0.324207902,1.251976864
2918,Slc39a10,-0.142700776,0.905821836
2919,Tmeff2,-0.23536407899999998,0.8494705990000001
2920,Myo1b,-0.203802615,0.868259012
2921,Stat1,0.13037981099999998,1.094581828
2922,Gls,-0.271143943,0.8286622220000001
2923,Nab1,-0.25924921,0.835522619
2924,Inpp1,-0.257409453,0.8365887759999999
2925,Pms1,-0.28113386,0.822943985
2926,Stk17b,-1.03648448,0.48751398799999995
2927,Hecw2,-0.14199169,0.9062671590000001
2928,Ankrd44,0.18824181,1.139374331
2929,Plcl1,-0.228778526,0.85335709
2930,9430016H08Rik,0.133812219,1.097189118
2931,Spats2l,0.220832258,1.165405689
2932,Ppil3,0.206645742,1.154002014
2933,Fam126b,-0.277734965,0.824885073
2934,Mpp4,-0.243498802,0.844694287
2935,Als2,-0.168987915,0.8894664440000001
2936,Cdk15,1.175482392,2.258683917
2937,Fzd7,-0.282016754,0.822440518
2938,Gm973,0.543083191,1.457083132
2939,Bmpr2,-0.43589109200000004,0.739237018
2940,Fam117b,-0.31358033399999996,0.804642399
2941,Nbeal1,-0.252510428,0.839434447
2942,Raph1,-0.564021885,0.6764138540000001
2943,Ino80d,-0.35127368600000003,0.7838917320000001
2944,Adam23,-0.632734716,0.644952709
2945,Fastkd2,-0.158554584,0.895922234
2946,Mettl21a,0.21947798100000002,1.16431222
2947,Plekhm3,-0.24179624,0.8456917209999999
2948,D630023F18Rik,0.713421345,1.6396880230000002
2949,Pikfyve,-0.090280116,0.939340348
2950,Unc80,-0.338894784,0.790646776
2951,Rpe,-0.214871213,0.861623072
2952,Lancl1,-0.38410475899999996,0.766254338
2953,Vwc2l,0.8153511290000001,1.7597263890000001
2954,Tmem169,0.204413056,1.152217485
2955,Xrcc5,0.18768800800000002,1.138937048
2956,March4,-0.220121354,0.85849322
2957,Igfbp2,0.557907999,1.47213298
2958,Igfbp5,-0.8922277690000001,0.538781504
2959,Aamp,0.204623938,1.152385919
2960,Zfp142,-0.26041856399999996,0.834845673
2961,Rnf25,0.240054026,1.181036888
2962,Ttll4,-0.16972868100000002,0.8890098559999999
2963,Cdk5r2,-0.324436039,0.7986105090000001
2964,Ccdc108,0.632698357,1.550462204
2965,Zfand2b,0.197749779,1.1469080870000001
2966,Atg9a,-0.184031382,0.8802398659999999
2967,Resp18,0.53869468,1.452657588
2968,Scg2,0.293837845,1.225897065
2969,Cul3,-0.228173897,0.853714805
2970,Nyap2,-0.275586277,0.826114536
2971,Irs1,-0.321160078,0.800425992
2972,Agfg1,-0.213475809,0.862456855
2973,Pid1,0.283562332,1.217196704
2974,Dner,-1.210785031,0.432033464
2975,Trip12,-0.18415692399999997,0.8801632709999999
2976,Itm2c,0.34824180600000004,1.273008283
2977,2810459M11Rik,0.23708146800000002,1.178605961
2978,Ptma,0.18261128699999998,1.134936269
2979,Pde6d,0.212683365,1.158841587
2980,Nppc,0.516095698,1.430079844
2981,Ecel1,1.24662149,2.372850964
2982,Efhd1,0.19449782399999999,1.144325772
2983,Ngef,0.39184150100000004,1.312067099
2984,Gm25395,-0.292560607,0.81645167
2985,Ugt1a10,0.668535054,1.589458175
2986,Ugt1a9,0.658925235,1.578905948
2987,Ugt1a7c,0.607012391,1.523101821
2988,Ugt1a6b,0.6809857490000001,1.603234822
2989,Ugt1a6a,0.670602679,1.59173777
2990,Ugt1a5,0.707665503,1.633159281
2991,Ugt1a2,0.653963327,1.573484893
2992,Ugt1a1,0.706130266,1.631422287
2993,Agap1,-0.34097001,0.789510299
2994,Lrrfip1,-0.329142869,0.7960092670000001
2995,Scly,0.19843621600000003,1.147453918
2996,Hes6,0.197462022,1.14667935
2997,Hdac4,-0.292336017,0.81657878
2998,Ndufa10,0.207387075,1.1545951540000001
2999,Rnpepl1,-0.26283603899999997,0.8334479220000001
3000,Kif1a,-0.339481384,0.790325365
3001,Hdlbp,-0.140496537,0.907206865
3002,Bok,-0.37587016799999995,0.7706404570000001
3003,Ing5,0.161391258,1.11836511
3004,Cntnap5b,-1.033097267,0.488659936
3005,Rnf152,-0.681233883,0.623631678
3006,Zcchc2,-0.236904636,0.8485639909999999
3007,Phlpp1,-0.432242215,0.7411090690000001
3008,Bcl2,-0.258715332,0.835831867
3009,Kdsr,-0.151492372,0.9003186609999999
3010,Tsn,0.10719572,1.077132493
3011,Clasp1,-0.20913241800000001,0.8650572870000001
3012,Gli2,-0.447179466,0.7334754240000001
3013,Ralb,0.24497211,1.185069861
3014,Epb4.1l5,-0.167703405,0.890258737
3015,Ptpn4,-0.281888425,0.822513678
3016,Insig2,-0.19332911100000003,0.87458523
3017,Dpp10,-0.532826781,0.691199088
3018,Actr3,-0.183803737,0.880378771
3019,Slc35f5,-0.213699847,0.862322933
3020,Lypd1,0.379602641,1.300983478
3021,Mgat5,-0.32136049899999997,0.8003148040000001
3022,Ubxn4,0.129366279,1.093813125
3023,Yod1,-0.15925197300000002,0.895489255
3024,Mapkapk2,-0.14475180199999998,0.9045349779999999
3025,Dyrk3,-0.364732116,0.776613065
3026,Srgap2,-0.460153341,0.726908993
3027,Mfsd4,-0.23490291800000002,0.849742178
3028,Rbbp5,0.11146035800000001,1.0803212309999999
3029,Nfasc,-0.44481402600000003,0.734679016
3030,Lrrn2,-0.8715368509999999,0.546564305
3031,Ppp1r15b,-0.240936592,0.846195787
3032,Plekha6,-0.444307923,0.734936789
3033,Etnk2,0.5999232529999999,1.5156359369999999
3034,Btg2,0.586828411,1.50194128
3035,Cyb5r1,0.250101626,1.189290888
3036,Adipor1,0.11484696,1.08286017
3037,Kdm5b,-0.267051816,0.831016014
3038,Syt2,-0.401023626,0.7573207559999999
3039,Lgr6,-0.7038545009999999,0.613929755
3040,Gm4204,0.790266991,1.729394481
3041,Shisa4,0.33993849200000004,1.26570263
3042,Nav1,-0.521540642,0.6966275129999999
3043,Csrp1,0.14307113,1.104253289
3044,Kif21b,-0.308177799,0.807661235
3045,Camsap2,-0.115105845,0.923314568
3046,Lhx9,0.869974971,1.8276311930000002
3047,Zbtb41,-0.144115895,0.904933765
3048,Kcnt2,0.49074882299999995,1.405174034
3049,Glrx2,-0.154372215,0.898523278
3050,Trove2,-0.239762902,0.8468844809999999
3051,Hmcn1,-0.7435657379999999,0.597261347
3052,Fam129a,0.311583251,1.241068934
3053,Colgalt2,0.465757012,1.381041825
3054,Arpc5,0.189054325,1.1400162
3055,Nmnat2,-0.17086471600000003,0.88831009
3056,Lamc2,1.011656404,2.016224663
3057,Dhx9,-0.5179169770000001,0.698379455
3058,Rgs8,-1.505245566,0.352270222
3059,Glul,0.23755893100000003,1.1789960879999999
3060,Mr1,0.310896009,1.24047788
3061,BC034090,0.331191629,1.2580520640000001
3062,Tor1aip1,-0.129419625,0.914199145
3063,Abl2,-0.37402191799999995,0.771628365
3064,Fam20b,0.105862908,1.07613786
3065,Ralgps2,-0.18350759100000003,0.8805595070000001
3066,Rasal2,-0.184389055,0.880021664
3067,Astn1,-0.378293306,0.7693471829999999
3068,Tnr,-0.32734426899999997,0.7970022659999999
3069,4930523C07Rik,-0.44448638,0.7348458859999999
3070,Mrps14,-0.26448071,0.8324983340000001
3071,Rabgap1l,-0.158882856,0.895718397
3072,Rc3h1,-0.286791027,0.819723335
3073,Zbtb37,-0.217429593,0.86009648
3074,Gas5,0.204984248,1.152673761
3075,Gm22357,0.38351029200000003,1.304512069
3076,Gm23212,0.343027443,1.268415527
3077,Klhl20,0.126367748,1.091542079
3078,Ankrd45,0.38763493299999996,1.3082469840000002
3079,Prdx6,0.215160772,1.160833269
3080,Suco,-0.176985502,0.8845493240000001
3081,Dnm3,-0.437220722,0.7385560290000001
3082,Prrc2c,-0.356660753,0.780970114
3083,Fmo1,0.456428289,1.372140572
3084,Kifap3,-0.261438638,0.834255595
3085,BC055324,-0.365223587,0.776348548
3086,Ccdc181,0.17809417800000002,1.131388317
3087,Atp1b1,-0.164844498,0.8920246620000001
3088,Gpr161,0.5792657139999999,1.494088611
3089,Mpzl1,-0.360517353,0.77888522
3090,Creg1,-0.31437251,0.804200696
3091,Pou2f1,-0.252635449,0.8393617059999999
3092,Pogk,-0.554599524,0.6808460270000001
3093,Fam78b,-0.653465748,0.63575123
3094,Rgs4,0.719541311,1.646658415
3095,Uhmk1,-0.270903856,0.8288001359999999
3096,Nos1ap,-0.49990913299999995,0.7071513190000001
3097,Olfml2b,0.39641076299999994,1.3162292279999999
3098,Fcgr3,0.405840755,1.32486077
3099,Fcer1g,0.549107432,1.4631801740000001
3100,Adamts4,-0.229268357,0.853067403
3101,Nit1,0.24867326,1.1881139920000001
3102,Klhdc9,0.331990212,1.258748634
3103,Usf1,0.203940779,1.15184036
3104,Cd84,0.550885379,1.464984478
3105,Pex19,0.166436404,1.1222829109999999
3106,Dcaf8,0.114633754,1.082700154
3107,Kcnj10,-0.44068869899999996,0.736782807
3108,Tagln2,0.34921538799999996,1.273867644
3109,Darc,-0.432442695,0.74100609
3110,Cadm3,-0.172583029,0.8872527040000001
3111,Fmn2,-0.381740928,0.7675108620000001
3112,Grem2,0.656777382,1.576557055
3113,Opn3,-1.87967968,0.27174404399999996
3114,Chml,-0.448890805,0.732605885
3115,Pld5,-0.209741354,0.864692239
3116,Gm16586,-0.27323338399999997,0.827462947
3117,Hnrnpu,-0.18693786899999998,0.8784683000000001
3118,Kif26b,-0.42505165899999997,0.744812061
3119,Cnst,-0.10201133,0.931733112
3120,Gm1305,-0.362824142,0.777640821
3121,Cdc42bpa,-0.340595275,0.789715398
3122,6330403A02Rik,0.401897639,1.321244658
3123,Parp1,-0.185835332,0.8791399
3124,Ephx1,0.352862865,1.27709236
3125,Wdr26,-0.419642866,0.74760967
3126,Enah,-0.29822722100000004,0.8132511029999999
3127,Susd4,-0.187625244,0.878049851
3128,Brox,0.132902309,1.096497338
3129,Dusp10,-0.34044489299999997,0.78979772
3130,C130074G19Rik,0.47324973299999995,1.3882330040000002
3131,Mark1,-0.14074263,0.907052128
3132,Bpnt1,0.216325775,1.161771042
3133,Esrrg,-0.316260934,0.803148722
3134,Cenpf,-0.49560782299999995,0.709262795
3135,Rps6kc1,-0.096161187,0.93551897
3136,Nenf,0.19063520399999997,1.141266093
3137,Dtl,0.8237203959999999,1.769964464
3138,Ints7,0.21339559600000002,1.159413826
3139,Lpgat1,-0.415830582,0.749587821
3140,Nek2,-0.9435573820000001,0.519949213
3141,Rcor3,-0.290008754,0.8178970959999999
3142,Syt14,-0.159584939,0.895282605
3143,Cd34,0.221620113,1.16604229
3144,Cul2,-0.174152896,0.8862877659999999
3145,Svil,-0.801113486,0.57390606
3146,Kif5b,-0.144710705,0.9045607459999999
3147,Usp14,-0.131946161,0.9125995440000001
3148,Snrpd1,0.17762351,1.13101927
3149,Mib1,-0.33361038600000004,0.79354812
3150,Npc1,-0.18070665,0.882270743
3151,Ankrd29,-0.178512439,0.88361362
3152,Zfp521,-0.19791165,0.871811627
3153,Ss18,0.168112189,1.123587273
3154,Kctd1,-0.208040342,0.865712357
3155,B4galt6,-0.408370942,0.753473699
3156,Trappc8,-0.1535905,0.899010269
3157,Asxl3,-0.275253803,0.82630494
3158,Nol4,-0.285607308,0.820396187
3159,Dtna,-0.113828875,0.924132182
3160,Mapre2,-0.24930754300000002,0.841300121
3161,Zfp35,-0.21834194699999998,0.859552731
3162,Ino80c,0.198083788,1.147173647
3163,Rprd1a,-0.133379743,0.91169316
3164,Fhod3,-0.217148647,0.86026399
3165,Ammecr1l,-0.177603498,0.8841704979999999
3166,Wdr33,-0.21251380399999997,0.863032142
3167,Lims2,0.331396222,1.258230485
3168,Map3k2,-0.13322255,0.9117925020000001
3169,Nrep,0.19366936399999998,1.143668838
3170,Gm10548,0.91263634,1.8824823519999998
3171,Apc,-0.261904359,0.83398633
3172,Fam13b,-0.288306773,0.818862558
3173,Cdc23,0.11378622099999999,1.082064292
3174,Fam53c,-0.227638334,0.8540317829999999
3175,Kdm3b,-0.288136333,0.818959303
3176,Spata24,0.475775331,1.390665389
3177,Dnajc18,0.18261604,1.134940008
3178,Ube2d2a,-0.22862857600000003,0.853445791
3179,Psd2,-0.50493449,0.7046923759999999
3180,Pura,-0.49919971799999996,0.707499131
3181,Cystm1,-0.24583339699999998,0.843328493
3182,Hbegf,-0.201892078,0.869409595
3183,Sra1,0.162741587,1.119412363
3184,Apbb3,0.275410205,1.210338179
3185,Ik,0.18524174399999999,1.137007479
3186,Hars,0.19701342300000002,1.1463228509999999
3187,Pcdha2,-0.467976719,0.722977814
3188,Pcdhb2,-0.393773794,0.7611360229999999
3189,Pcdhb16,-0.228781223,0.853355495
3190,Pcdhb18,-0.21325375100000002,0.8625896129999999
3191,Pcdhb19,-0.239068955,0.847291937
3192,Pcdhb20,-0.26768553300000003,0.830651063
3193,Pcdhga9,-0.324580789,0.7985303859999999
3194,Diap1,-0.348245621,0.7855387659999999
3195,Hdac3,0.18568389100000002,1.137355995
3196,Pcdh1,-0.607269168,0.656438078
3197,Spry4,-0.697957158,0.616444468
3198,Arhgap26,-0.9452804920000001,0.519328573
3199,Yipf5,-0.15827043400000002,0.89609871
3200,Rbm27,-0.192755327,0.8749331359999999
3201,Dcp2,-0.236017659,0.849085853
3202,Mcc,-0.310969263,0.806100005
3203,Ccdc112,-0.44421890399999997,0.7349821390000001
3204,Fem1c,-0.55655992,0.6799214929999999
3205,Cdo1,0.35170599799999996,1.2760686970000001
3206,Ap3s1,-0.29804649899999996,0.8133529829999999
3207,Sema6a,-0.409995764,0.7526255829999999
3208,Dmxl1,-0.203664005,0.8683424359999999
3209,Snx24,0.224730209,1.1685587020000001
3210,Csnk1g3,-0.132065445,0.9125240929999999
3211,Zfp608,-0.196201667,0.872845572
3212,Phax,0.203948557,1.15184657
3213,Megf10,-0.498332262,0.707924661
