,Gene name,Log2(Fold Expression)  (ATXN2[Q127] vs. WT),Fold Expression (ATXN2[Q127] vs. WT)
2193,Asap1,-0.32837975,0.79643043
2194,Zfat,-0.272701949,0.82776781
2195,Khdrbs3,0.296892196,1.228495179
2196,Fam135b,-0.378507495,0.76923297
2197,Trappc9,-0.351916611,0.783542475
2198,Ago2,-0.634942114,0.643966652
2199,Ptk2,-0.11770202199999999,0.9216545270000001
2200,Slc45a4,-0.333773881,0.793458195
2201,Bai1,-0.314709395,0.804012928
2202,Ly6e,0.22039678699999998,1.1650539690000001
2203,Zc3h3,-0.608775318,0.655753125
2204,Naprt1,0.390645742,1.31098006
2205,Tsta3,0.144535691,1.105374848
2206,Puf60,0.136878148,1.099523278
2207,Nrbp2,0.209350035,1.156167188
2208,Plec,-0.266968608,0.831063945
2209,Cyc1,-0.122840218,0.9183778690000001
2210,Sharpin,0.227017611,1.170412929
2211,Mroh1,-0.254484773,0.838286457
2212,Bop1,0.21375660600000002,1.159703987
2213,Scx,0.559341848,1.473596815
2214,Scrt1,-0.33277738100000004,0.794006443
2215,Vps28,0.169081658,1.124342561
2216,Kifc2,0.252445132,1.191224335
2217,Zfp251,0.12890628,1.093464422
2218,Rpl8,0.179143652,1.132211633
2219,1110038F14Rik,0.338073105,1.26406715
2220,Rbfox2,-0.15124453599999998,0.900473337
2221,Myh9,-0.23541306,0.84944176
2222,Eif3d,0.127790794,1.092619286
2223,Cacng2,-0.627061844,0.647493743
2224,Pvalb,-0.421010196,0.74690145
2225,Kctd17,0.21170203399999998,1.158053604
2226,Cyth4,0.325946599,1.253486622
2227,Cdc42ep1,-0.39766264,0.7590871109999999
2228,Gga1,-0.26141053399999997,0.8342718459999999
2229,Eif3l,0.14518314599999999,1.105871032
2230,Polr2f,0.21856153,1.163572843
2231,Tmem184b,-0.284097135,0.821255405
2232,Cby1,0.27416014699999997,1.209289906
2233,Josd1,-0.127675653,0.9153049240000001
2234,Nptxr,-0.6545506720000001,0.635273317
2235,Npcd,-0.54370153,0.686008554
2236,Cbx6,-0.343311697,0.788229857
2237,Mgat3,-0.246237338,0.843092402
2238,Mief1,-0.233224005,0.850731628
2239,Cacna1i,-0.467358172,0.723287853
2240,Tnrc6b,-0.295849502,0.814592535
2241,Mkl1,-0.38663771700000005,0.764910195
2242,Mchr1,0.8361282940000001,1.7852526930000001
2243,Ep300,-0.380539119,0.768150488
2244,Tef,0.175593853,1.1294292129999999
2245,Csdc2,-0.50069654,0.706765469
2246,Desi1,-0.286583036,0.819841522
2247,Nhp2l1,0.283877969,1.217463034
2248,Srebf2,-0.45707845700000005,0.7284599409999999
2249,1500009C09Rik,-0.29120850600000003,0.8172172120000001
2250,Smdt1,0.132922918,1.096513001
2251,Tcf20,-0.159731597,0.8951916
2252,Serhl,0.363776565,1.286789942
2253,Rrp7a,0.144905686,1.1056583709999999
2254,Cyb5r3,0.18047884100000003,1.13325996
2255,Arfgap3,0.17240209899999998,1.126933276
2256,Mpped1,0.5414651629999999,1.455449884
2257,Sult4a1,0.16861563899999998,1.123979435
2258,Parvb,-0.39496088,0.760509998
2259,Parvg,0.527777255,1.4417062619999998
2260,Wnt7b,0.420303583,1.338209122
2261,Trmu,0.172147542,1.126734452
2262,Cerk,-0.598565638,0.660410225
2263,Selo,0.146507367,1.106886555
2264,Plxnb2,-0.24557781199999998,0.843477908
2265,Mapk8ip2,-0.224754736,0.855740493
2266,Shank3,-0.428917557,0.7428189079999999
2267,Kif21a,-0.094097994,0.936857809
2268,Lrrk2,-0.23587189600000003,0.849171645
2269,Gxylt1,-0.302491754,0.8108507229999999
2270,Zcrb1,0.23085612100000003,1.1735311370000001
2271,Dbx2,0.27554962,1.210455146
2272,Ano6,-0.158670157,0.895850465
2273,Arid2,-0.213543937,0.862416128
2274,Scaf11,-0.20854286800000002,0.865410861
2275,Slc38a1,-0.19092996399999998,0.876040842
2276,Slc38a2,-0.263161659,0.833259832
2277,Rpap3,0.272799075,1.208149572
2278,Slc48a1,0.17970617100000003,1.132653178
2279,Col2a1,-0.507615805,0.703383889
2280,Ccnt1,-0.132245705,0.9124100829999999
2281,Kmt2d,-0.528793573,0.6931341120000001
2282,Tuba1a,0.272177011,1.207628752
2283,Nckap5l,-0.333074778,0.793842783
2284,Faim2,-0.26508218100000003,0.8321513309999999
2285,Asic1,-0.191263944,0.8758380640000001
2286,Lima1,0.189955205,1.140728296
2287,Larp4,-0.14660129,0.9033761370000001
2288,Dip2b,-0.247017294,0.842636728
2289,Tfcp2,0.181072414,1.133726317
2290,Dazap2,0.132341966,1.096071541
2291,Slc4a8,-0.242328182,0.84537996
2292,Scn8a,-0.44787064200000004,0.733124111
2293,Eif4b,0.140722737,1.102457268
2294,Csad,-0.22206968100000002,0.8573346270000001
2295,Pfdn5,0.152029395,1.111131368
2296,Myg1,0.23275679300000002,1.17507822
2297,Sp1,-0.15627417,0.8973395040000001
2298,Pcbp2,-0.567962825,0.674568649
2299,Atf7,-0.32484912899999996,0.798381874
2300,Hoxc4,2.020841599,4.058204589
2301,Zfp385a,-0.546911776,0.684483763
2302,Itga5,0.40615931200000005,1.325153341
2303,Pde1b,0.32660988,1.254063047
2304,Abhd6,-0.359221458,0.779585165
2305,4930452B06Rik,0.478275716,1.393077689
2306,Ptprg,-0.33528003100000003,0.79263027
2307,Slc4a7,-0.231606603,0.851685916
2308,Top2b,-0.29802084,0.813367449
2309,Gng2,0.266289771,1.2027107940000001
2310,Nudt13,0.175603867,1.129437053
2311,Ecd,0.153819501,1.1125109229999999
2312,Dnajc9,0.132799193,1.0964189690000001
2313,Anxa7,0.17995974399999998,1.132852275
2314,Ppp3cb,-0.320687145,0.800688425
2315,Sec24c,-0.252562821,0.839403963
2316,Samd8,-0.618534803,0.651332083
2317,A830039N20Rik,-0.78156656,0.581734769
2318,Kcnma1,-0.899491191,0.536075761
2319,Dlg5,-0.34937471200000003,0.7849242240000001
2320,Zmiz1,-0.6516316529999999,0.636559972
2321,Slmap,-0.368183851,0.774757193
2322,D14Abb1e,-0.20884962399999998,0.865226871
2323,Cacna2d3,-0.193356931,0.874568365
2324,Actr8,0.149742603,1.109371527
2325,Chdh,-0.314469695,0.8041465240000001
2326,Prkcd,-0.247059435,0.842612116
2327,Sfmbt1,-0.20903854100000002,0.8651135790000001
2328,Nt5dc2,0.25707528,1.195053561
2329,Nisch,-0.281065464,0.822983001
2330,Sema3g,0.424390107,1.3420050559999999
2331,Galnt15,0.5594233270000001,1.4736800419999998
2332,Oxnad1,0.185889274,1.137517921
2333,Sncg,0.780874848,1.718172455
2334,Wapal,-0.152754113,0.8995316109999999
2335,Grid1,-0.21930182,0.858981033
2336,Ccser2,-0.078337811,0.947148267
2337,Cdhr1,1.339179397,2.530073675
2338,Nrg3,-0.258913845,0.835716865
2339,Sh2d4b,-1.283345103,0.41084180600000003
2340,Tspan14,-0.303176314,0.8104660659999999
2341,Ddhd1,-0.158919901,0.895695398
2342,Bmp4,0.55552578,1.469704159
2343,Samd4,-0.383040696,0.766819699
2344,Socs4,-0.20920673,0.86501273
2345,Ktn1,-0.17842419399999998,0.883667669
2346,Naa30,-0.349096805,0.785075438
2347,3632451O06Rik,-0.265237987,0.832061466
2348,Parp2,0.23048453,1.173228913
2349,Apex1,0.179133564,1.132203716
2350,Chd8,-0.15741050199999998,0.896632997
2351,Rab2b,0.214389876,1.160213149
2352,Mettl3,0.167762309,1.123314816
2353,Abhd4,0.150173888,1.109703216
2354,Oxa1l,0.173925608,1.128123965
2355,Prmt5,0.12259917699999999,1.088694502
2356,Gm20521,0.149116054,1.108889842
2357,Pabpn1,0.19587315600000002,1.145417187
2358,Thtpa,0.19769409300000002,1.146863819
2359,Cpne6,0.8387263420000001,1.788470525
2360,Psme1,0.25802648100000003,1.195841746
2361,Ipo4,-0.198865443,0.8712354459999999
2362,Dhrs1,0.261083931,1.198378737
2363,Sdr39u1,0.20980435600000003,1.156531336
2364,Parp4,-0.379512817,0.768697128
2365,Pspc1,-0.213261425,0.862585025
2366,Zmym2,-0.136167005,0.909933485
2367,Xpo4,-0.202960595,0.868765914
2368,Lats2,-0.350626826,0.7842432840000001
2369,Sap18,0.12913876800000001,1.0936406459999999
2370,Cdadc1,-0.29818463300000003,0.81327511
2371,Atp8a2,-0.20841957600000002,0.865484822
2372,Amer2,-0.346674204,0.7863948590000001
2373,Sacs,-0.259968132,0.835106366
2374,Ebpl,0.250584245,1.189688803
2375,Kpna3,-0.18560747800000002,0.8792787590000001
2376,Ctsb,0.208518595,1.155501069
2377,Fdft1,0.288169742,1.221090173
2378,Mtmr9,-0.321850628,0.8000429579999999
2379,Pinx1,0.171126649,1.125937424
2380,Hmbox1,-0.199650943,0.8707612159999999
2381,Extl3,-0.270702124,0.828916035
2382,Fzd3,-0.141510487,0.906569489
2383,Scara3,0.318813562,1.247304374
2384,Clu,0.273357183,1.208617036
2385,Ephx2,0.21041977399999998,1.157024789
2386,Ptk2b,0.7090214490000001,1.63469496
2387,Dpysl2,-0.346249253,0.7866265290000001
