Gene name,Log2(Fold expression) (Atxn1-154Q vs. WT)_Lim,Fold Expression (Atxn1-154Q vs. WT)_Lim,Log2(Fold expression) (Atxn1-154Q vs. WT)_Orr,Fold Expression (Atxn1-154Q vs. WT)_Orr
Cys1,-0.654562,0.6352673839999999,,
Rsad2,0.9201809999999999,1.892348485,,
Gm9866,-0.8311139999999999,0.562095563,,
Prkar2b,-0.556337,0.680027023,,
Stxbp6,-1.14086,0.453488121,,
4930447C04Rik,-1.0111700000000001,0.49614546,0.676913905,1.5987162519999998
Kcnh5,-2.31486,0.200982498,,
Plekhd1os,-1.0920100000000001,0.46910692200000004,-1.461077409,0.36322177299999997
Slc8a3,0.394794,1.3147631229999999,,
Ltbp2,0.350561,1.275058393,,
Tgfb3,0.524748,1.43868347,,
Ngb,-2.9856599999999998,0.126248263,,
Prima1,-0.628999,0.646626523,,
Serpina9,-0.811441,0.569811657,,
Clmn,-0.403712,0.7559131459999999,,
Bcl11b,-1.7875400000000001,0.289667145,,
Slc25a29,-0.624208,0.648775212,-0.700646882,0.615296255
Begain,-0.809567,0.5705552770000001,,
Tmem179,-1.06836,0.476862456,,
Dnah11,-0.896381,0.537232177,,
Gng4,-0.659709,0.6330071270000001,,
Sfrp4,0.9817229999999999,1.9748176780000002,0.72144655,1.648834446
Fam65b,-0.49850200000000006,0.7078414759999999,,
D130043K22Rik,-0.546764,0.684551558,,
Gm5083,-0.859591,0.551109838,-1.0991573209999999,0.466789068
Id4,-0.44725699999999996,0.7334368379999999,-0.5140803589999999,0.700239155
Hrh2,-0.9341430000000001,0.523353076,-0.83802625,0.559408372
1700001L19Rik,-1.2954299999999999,0.407414695,,
Irx2,-0.5866319999999999,0.665895586,,
Tppp,-0.316915,0.802785176,,
Mctp1,0.32311799999999996,1.251032615,,
"C130071C03Rik,Mir9-2",0.376688,1.298360586,,
Edil3,-0.33168200000000003,0.7946092359999999,,
Hapln1,-0.733842,0.6013016870000001,,
Lhfpl2,0.468762,1.383918646,0.356121154,1.279979899
Enc1,-2.25675,0.20924208600000002,,
Htr1a,-3.70526,0.07666661400000001,,
Chrm3,-1.73615,0.300170095,,
Ryr2,0.36917,1.2916065509999999,,
"Prl2c3,Prl2c4",-1.29568,0.407342053,,
Nrsn1,-0.742512,0.597697795,,
Sox4,0.4403,1.3568852669999998,0.506108566,1.4202142290000002
E2f3,0.365563,1.288382858,,
Serpinb1a,-0.41595699999999997,0.7495222159999999,,
Elovl2,0.36140900000000004,1.284676379,,
A330076C08Rik,-0.8033170000000001,0.573031262,,
Shc3,-0.573701,0.6718936,,
Tifab,-0.829939,0.56255295,,
6720489N17Rik,-0.73423,0.601138093,,
Adcy2,-0.334385,0.793123505,,
Gm20554,-0.845651,0.556459438,,
Nkd2,-1.3154700000000001,0.401796087,,
Rasgrf2,-2.54759,0.171040735,,
F2r,-0.530836,0.6921540490000001,,
Sv2c,0.428781,1.346094705,,
Cartpt,-3.32139,0.10003688300000001,,
Map3k1,0.327409,1.2547575690000001,,
Synpr,1.02051,2.028636891,0.841029021,1.791327374
Arhgap22,-0.8975780000000001,0.5367883689999999,,
Rem2,0.502872,1.4170295069999999,,
Cpne6,-2.29691,0.203497542,,
Nynrin,-0.39417199999999997,0.760925472,,
Clu,-0.295968,0.8145259220000001,,
Pnma2,-0.8761709999999999,0.5448112270000001,,
Ebf2,-0.434684,0.739856828,,
Nefl,-0.413274,0.7509200359999999,,
Stc1,-1.9252599999999997,0.263294223,,
Egr3,-2.56355,0.169158872,,
Htr2a,-1.3596,0.389691135,,
Kctd4,-0.7505890000000001,0.594361202,,
Pcdh17,-0.315564,0.803537939,,
Gpc5,-0.9328,0.523840503,,
Ipo5,-0.310748,0.806224251,-0.474542123,0.719695168
Gm5087,1.41136,2.6598769730000003,0.79240021,1.731953516
Camk2g,-0.384467,0.766062841,,
Itih3,-0.43203800000000003,0.7412153840000001,,
Dnah1,-1.6661700000000002,0.315087838,,
Sncg,-1.22906,0.426595945,,
Cdhr1,-3.06492,0.1195,,
Slc35f4,-0.744531,0.59686277,0.60660479,1.5226715640000001
Slc7a8,0.320346,1.248629832,,
Dleu7,-0.803945,0.572777248,,
Pnoc,-0.8474010000000001,0.555786965,,
Ptk2b,-1.6274600000000001,0.323657273,,
Nefm,-0.44809099999999996,0.7330126859999999,,
Rhobtb2,-0.5866439999999999,0.665891064,-0.6507757160000001,0.63693775
Pdlim2,-0.745135,0.596610523,,
Dgkh,-0.563708,0.676560947,,
Lect1,-0.7935220000000001,0.57693433,-0.434734671,0.7398298059999999
Pcdh8,-0.8758610000000001,0.54493024,0.8132340309999999,1.757145954
Klhl1,-1.09591,0.467839079,,
Kctd12,-0.717863,0.607997106,-0.987823876,0.504237781
Pou4f1,-3.6544800000000004,0.079413306,,
Slitrk6,-2.1081,0.23195302899999998,,
Cdh9,-2.0420599999999998,0.242817213,,
Dap,-0.497276,0.70844337,-0.68906619,0.620255191
Matn2,-0.611584,0.654480343,,
Erich5,-2.155,0.224533166,,
Zfpm2,0.454879,1.3706629380000002,,
Trhr,-1.85658,0.27613012,,
Mal2,-1.2153399999999999,0.43067111,,
Khdrbs3,-0.408966,0.7531652390000001,,
Mchr1,-2.0793,0.23662967699999998,,
Tef,-0.324443,0.7986077309999999,,
1500009C09Rik,-0.44222100000000003,0.736001685,,
Mpped1,-1.34769,0.39292045600000003,,
Pnpla3,0.478736,1.393522554,,
"Mirlet7b,Mirlet7bhg,Mirlet7c-2",0.533763,1.4476937369999998,,
Pdzrn4,-0.782485,0.581364116,,
9430014N10Rik,-1.68471,0.31106401,,
Ccdc184,-0.517616,0.69852613,,
Prph,-2.53016,0.173119728,,
"Aqp5,Aqp6",-0.38798,0.764198721,,
Gpd1,0.291538,1.2239445759999998,-0.279629647,0.823802468
Hoxc4,-2.58909,0.16619030099999998,,
Pde1b,-0.422864,0.745943037,,
Rxfp3,-2.51962,0.17438817899999998,,
Pdzd2,-0.43968900000000005,0.737294935,,
Cdh6,-0.739622,0.598898836,,
Basp1,-1.46554,0.36210004700000004,,
Ncald,0.366254,1.289002409,,
Angpt1,0.5252640000000001,1.439197992,0.603381756,1.519273656
Tnfrsf11b,0.607216,1.5233155,,
Sntb1,-0.8869040000000001,0.5407721529999999,,
Lrrc6,-1.72617,0.302254266,,
St3gal1,-1.07416,0.47494852200000004,,
"Mir30b,Mir30d",-3.52645,0.086782536,,
Mroh5,-0.707527,0.612368975,-0.6910851140000001,0.619387806
Ly6h,-0.767039,0.5876227070000001,,
Mafa,-2.04156,0.242900797,,
Sstr3,0.40334000000000003,1.3225673740000001,,
Elfn2,-0.8401879999999999,0.5585714979999999,,
Sox10,-0.344656,0.78748988,,
Kcnj4,-1.5901100000000001,0.33214684,,
1810041L15Rik,-0.735429,0.600638476,,
Prickle1,-0.377231,0.769915115,,
Ddn,-3.21126,0.10797263800000001,,
C1ql4,-4.09189,0.058643362000000004,,
Faim2,-0.293466,0.8159369870000001,,
Rmi2,-0.915307,0.53023065,-0.689012805,0.620278143
Shisa9,-0.473842,0.7200448909999999,,
Efcab1,-1.0258399999999999,0.491123288,,
Ephb3,-0.620002,0.650672344,,
Il1rap,-0.399339,0.75820553,,
Ostn,-1.9318099999999998,0.262099701,-1.1182126270000001,0.460664195
Bdh1,0.305183,1.2355741759999999,,
Sema5b,-0.6756840000000001,0.626032434,,
Cblb,0.42435,1.3419667990000002,,
Cmss1,-0.600649,0.659456962,,
Vgll3,-1.63361,0.322281892,,
Olig1,-0.297191,0.813835058,,
Pcp4,-0.642315,0.640685052,,
Srl,-0.617498,0.651799554,-0.667228395,0.629715291
Nmral1,-0.524519,0.6951899990000001,,
Tekt5,-1.90042,0.267865335,,
Sst,-3.35166,0.097959949,,
Mb21d2,0.45114,1.367116652,,
Kalrn,-0.569937,0.673646938,,
Parp14,0.540427,1.454403926,,
Bbx,0.300209,1.231322656,,
Epha3,0.401794,1.321147512,,
Robo2,-0.586427,0.665990344,,
Prr18,-0.5101220000000001,0.702161626,,
Lix1,-0.781734,0.581667749,,
Has1,-0.568803,0.674175567,,
Gng13,-0.8263790000000001,0.5639423929999999,-0.8762337240000001,0.544787791
Neurl1b,-1.11784,0.460782838,,
Brpf3,0.388784,1.30928912,,
Cdkn1a,0.397812,1.317510122,,
Pi16,-1.04023,0.48624889200000004,,
Pde9a,-0.310772,0.806209495,-0.513091316,0.7007193709999999
Clic1,0.399979,1.3194885859999999,,
Rnf39,0.7565569999999999,1.689454851,,
Gabbr1,-0.352979,0.7829661240000001,-0.370819626,0.773343019
Tnfrsf21,-0.48441000000000006,0.714786302,,
Rcan2,-0.5133310000000001,0.70060286,,
Trerf1,-0.5811609999999999,0.668427642,,
Lrfn2,-2.35558,0.195389017,,
St6gal2,-0.7528739999999999,0.593421152,,
Tmem200c,-0.580654,0.6686588170000001,,
Clip4,-0.386967,0.764738299,,
Qpct,-0.800184,0.574275057,,
Arhgef33,-0.49535799999999997,0.7093849609999999,-0.8567528,0.5521940320000001
Foxn2,0.297138,1.2287028709999999,,
"Tmem181b-ps,Tmem181c-ps",0.303386,1.234035236,,
Dact2,-0.537071,0.6891686370000001,,
Baiap3,-3.57418,0.083958726,,
Cacna1h,-1.39838,0.379355121,,
Nhlrc4,0.8376969999999999,1.787187698,,
Arhgdig,-1.40047,0.37880545200000004,,
Grm4,-0.651105,0.6367922429999999,-1.0068864020000001,0.497619042
4930539E08Rik,-3.5539400000000003,0.08514451199999999,,
Cpne5,-4.1194,0.057535689,,
Sik1,-0.573391,0.6720372490000001,,
Mog,-0.500135,0.7070413390000001,,
Mdfi,-1.54132,0.343570871,-1.674441091,0.313287456
Daam2,-0.6156229999999999,0.652646488,,
Satb1,0.348229,1.272999458,,
Slc5a7,-2.2805299999999997,0.20582189,,
Stap2,-0.841931,0.557896937,-0.887488675,0.5405542520000001
Ptprm,-0.392885,0.761606806,-0.493870385,0.710117475
Alk,-1.7074900000000002,0.306191673,,
Galnt14,-1.0840299999999998,0.471709141,,
Atl2,-0.514929,0.69982649,-0.666989195,0.629819707
Six3os1,-7.62737,0.005057479,,
Cables1,-0.374623,0.7713072209999999,-0.551594978,0.6822654290000001
Impact,-0.367703,0.775015485,,
Psd2,-0.344087,0.787806593,-0.5137797239999999,0.70038509
Arhgap26,-0.368859,0.7743941409999999,-0.559897431,0.67835039
Kctd16,-1.00007,0.49997409600000003,,
A730017C20Rik,-1.0843399999999999,0.471606299,,
Chsy3,-1.50686,0.35187640299999995,,
Camk2a,-0.98972,0.503576229,,
Htr4,-2.25559,0.209411387,,
Grp,-2.7113099999999997,0.152691634,,
Tcf4,0.29940100000000003,1.230633878,,
Zbtb7c,-1.7491900000000002,0.297468524,,
Pard6g,0.39971799999999996,1.319250507,,
Mbp,-0.46191400000000005,0.726020993,,
Neto1,-1.07778,0.473758465,,
Cbln2,-4.29298,0.051013595,,
Zfp521,0.36351700000000003,1.286555332,,
Dsc2,0.9108139999999999,1.8801050190000002,0.771293909,1.706799873
Gpr17,-0.397895,0.758964642,,
Epb4.1l4a,-0.765875,0.588096275,,
Fgf1,-0.379761,0.7685643409999999,,
Trim36,-0.47295299999999996,0.7204879890000001,,
Synpo,-0.800586,0.574116493,,
Slc6a7,-0.907408,0.5331436420000001,,
Ablim3,0.408064,1.326902053,,
Cep76,-0.53168,0.6917496,-0.944403595,0.5196443270000001
Rab27b,-0.815344,0.5682723129999999,,
Dcc,-0.929132,0.525174268,,
Slc14a1,-0.375907,0.770621362,-0.512476232,0.701018182
Setbp1,0.287993,1.220939742,,
Sall3,-1.1865,0.439366618,,
Dok6,-0.690117,0.6198033079999999,,
Cdc42bpg,0.41000699999999995,1.32869514,,
Rasgrp2,-1.57168,0.336416062,,
Rcor2,-1.05566,0.481078499,,
Chrm1,-1.4893399999999999,0.356176575,,
Fads1,-0.326765,0.797321347,-0.35328214799999996,0.7828011890000001
Tmem2,0.324702,1.252405988,,
Il33,-0.686801,0.621230183,,
Ifit1,0.8893399999999999,1.8523331140000001,,
Dusp5,-0.733167,0.601581299,-1.103005435,0.46554565600000003
Adra2a,-0.48345699999999997,0.715260885,,
Tcf7l2,-3.24749,0.10529473800000001,,
Plcb3,-0.897853,0.536686463,-0.996441143,0.501234928
Fads2,-0.32461599999999996,0.798512455,,
Myrf,-0.39764299999999997,0.759096895,,
Dagla,-0.669547,0.628702571,-0.73299192,0.6016548829999999
Gcnt1,-1.56206,0.33866861,-0.7269616870000001,0.604174966
Rorb,-0.49297700000000005,0.710558666,,
Gda,-3.07527,0.118645476,,
Asah2,-0.761571,0.589852997,,
Htr7,-1.55397,0.340571191,,
Ppp1r3c,-0.34911,0.7850683070000001,,
Opalin,-0.9279870000000001,0.525591907,,
Slit1,-2.70109,0.153776785,,
Sfrp5,-2.42896,0.18569868,,
Crtac1,-1.41029,0.376238105,,
Scd1,-0.397572,0.7591348459999999,,
Kcnip2,-2.62465,0.162144751,,
Psd,-0.45567700000000005,0.7291663340000001,-0.39417788200000003,0.7609228640000001
Sorcs1,-0.363885,0.7770704209999999,,
5830416P10Rik,-1.6043399999999999,0.328884776,,
Gfra1,-1.42713,0.37187053700000006,,
Hspa12a,-0.320415,0.800841453,,
Fam107b,-0.687824,0.620790434,-1.21139463,0.43185095
Cacnb2,-0.4821,0.7159351190000001,,
Gpr158,0.37450700000000003,1.29639665,,
Nsmf,-0.323583,0.799084397,,
Nrarp,-0.545191,0.6853023220000001,,
Entpd2,-0.9675309999999999,0.5113808670000001,,
Rxra,-0.40680900000000003,0.754289943,,
Col5a1,-0.5126689999999999,0.700925687,-1.035882545,0.487717436
Ass1,-0.684233,0.622338442,0.442079293,1.358560952
Sh2d3c,0.35985500000000004,1.28329522,,
C130021I20Rik,-1.53909,0.344103967,,
Lhx2,-3.2551200000000002,0.104738975,,
Epc2,0.31440100000000004,1.24349377,,
Lypd6b,-1.88454,0.270830691,,
Mybpc3,-0.533885,0.69069201,-0.908320745,0.5328049
Chst1,-0.529245,0.692915707,,
Cd59a,-0.41611499999999996,0.749439613,,
Pax6,0.48320799999999997,1.397847258,,
Kcna4,-0.8557739999999999,0.5525681929999999,,
Pak6,-1.6585400000000001,0.316759625,0.680792398,1.603019969
Gchfr,-0.937132,0.522271658,-0.941074027,0.520844988
1700020I14Rik,0.39012800000000003,1.3105127429999999,,
Itpka,-0.415789,0.7496101359999999,-0.912350518,0.531318732
Fgf7,-0.5771649999999999,0.6702788789999999,-0.7476702709999999,0.595564526
Slc27a2,-0.9876959999999999,0.504282451,,
Fbln7,-0.525165,0.6948788840000001,-0.799511381,0.574543734
Slc20a1,-0.347656,0.785859361,-0.438347541,0.737979405
Lamp5,-1.2746899999999999,0.413313114,,
Pcsk2,-0.288853,0.818553579,,
Insm1,-1.18175,0.44081571399999997,,
Nnat,-0.6431279999999999,0.640322713,,
Vstm2l,-0.9881409999999999,0.504128755,,
Ppp1r16b,-0.550999,0.682547158,-0.816346363,0.56787828
Tox2,-1.43517,0.369801405,0.6242196,1.5413768190000001
Tshz2,-1.22896,0.42662417700000005,,
Fam217b,-0.386703,0.764875968,,
Oprl1,-0.806706,0.571686124,0.609395253,1.525619567
Camk1d,-0.45273100000000005,0.730662932,,
Proser2,0.566507,1.480936014,,
Gata3,-4.05169,0.060300476,,
Pfkfb3,-0.363716,0.777161575,,
C1ql3,-0.503998,0.7051529679999999,,
St8sia6,-0.797138,0.5754902470000001,,
4932418E24Rik,-0.740942,0.598348468,,
Ier5l,-1.0562200000000002,0.480892771,,
1700001O22Rik,-1.33235,0.39712255799999996,,
Fibcd1,-3.7305099999999998,0.075336454,,
Slc25a25,-0.320841,0.800602617,,
Garnl3,-0.295241,0.8149368,-0.640364575,0.641550806
Lmx1b,-1.98053,0.253396309,,
Lrp1b,0.510626,1.4246714930000002,0.641927779,1.560412845
Neb,-0.365827,0.776021541,,
Ermn,-0.461761,0.726098285,,
Scn7a,-1.37005,0.38688002,,
Chn1,-0.6121409999999999,0.6542242189999999,-0.333953965,0.793359158
Pde11a,-2.68362,0.15565025400000002,,
Pde1a,-0.525972,0.694490343,,
Lrrc55,-0.73268,0.601788026,,
Ptprj,0.359489,1.282969194,,
"Mir129-2,Mir670",0.663856,1.584312554,,
Chrm5,-1.3864100000000001,0.38251502200000004,,
Meis2,-2.01657,0.247146317,,
Ankrd63,-3.10452,0.116264329,,
Rmdn3,-0.33603,0.792219235,-0.564892254,0.6760059009999999
Mal,-0.546086,0.6848754020000001,,
Pak7,0.410339,1.32899507,,
