,Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
145,Gna13,-0.20756107,0.866
146,Sec8l1,-0.35845397100000004,0.78
147,Limd1,-0.360304767,0.779
148,Prkcd,-0.291592017,0.8170000000000001
149,Cpsf3,-0.29512803600000004,0.815
150,Syt12,-0.380821784,0.768
151,Usp8,-0.24297675300000002,0.845
152,Ly86,-0.666576266,0.63
153,Smc6l1,-0.397828209,0.759
154,Thrsp,-0.174621396,0.8859999999999999
155,Dnmt3a,-0.652901329,0.636
156,4930553F24Rik,-0.265344567,0.8320000000000001
157,Ide,-0.18278607600000002,0.8809999999999999
158,Kcnb1,-0.356605547,0.7809999999999999
159,Mrpl49,-0.224317298,0.856
160,Txndc4,-0.166502663,0.8909999999999999
161,BC025462,-0.229382353,0.853
162,Add3,-0.215914857,0.861
163,Tcfap2b,-0.39592867600000003,0.76
164,Cacna1g,-0.307572802,0.8079999999999999
165,Adam23,-0.550042516,0.6829999999999999
166,Agt,-0.224317298,0.856
167,Perq1,-0.30222618,0.8109999999999999
168,Mmd,-0.351074441,0.784
169,Nnat,-0.5063526660000001,0.7040000000000001
170,Asf1a,-0.289827252,0.818
171,Strn3,-0.164884385,0.892
172,Leprotl1,-0.263611599,0.833
173,Kcnc1,-0.444183845,0.735
174,Paics,-0.189351252,0.877
175,Kctd10,-0.336427665,0.792
176,9530090G24Rik,-0.224317298,0.856
177,Sara1,-0.19759996,0.872
178,Dym,-0.32915966399999996,0.7959999999999999
179,D2Ertd391e,-0.204233052,0.868
180,2610034N24Rik,-0.388355457,0.764
181,Ddx56,-0.40354186,0.7559999999999999
182,5031439A09Rik,-0.36215794,0.778
183,D11Ertd99e,-0.300448367,0.812
184,Rasl11b,-0.39213709700000005,0.762
185,Nrbp,-0.22263289100000003,0.857
186,Dalrd3,-0.214240226,0.862
187,BC023882,-0.217591435,0.86
188,Pkig,-0.32915966399999996,0.7959999999999999
189,Thoc3,-0.217591435,0.86
190,4930453N24Rik,-0.274040765,0.8270000000000001
191,Sbk1,-0.36587144200000005,0.7759999999999999
192,Gdf10,-0.316528107,0.8029999999999999
193,Itpka,-0.47995497600000003,0.7170000000000001
194,2010107G23Rik,-0.153606979,0.899
195,Gdpd5,-0.23446525399999998,0.85
196,0610039K22Rik,-0.258425153,0.836
197,BC016198,-0.340075442,0.79
198,Prpf3,-0.227692025,0.8540000000000001
199,Fyttd1,-0.267079618,0.831
200,5830417I10Rik,-0.42081985200000005,0.747
201,Cluap1,-0.226003675,0.855
202,MGI:2149786,-0.18278607600000002,0.8809999999999999
203,Ttc8,-0.184424571,0.88
204,Camkk2,-0.336427665,0.792
205,Bbs2,-0.5374241120000001,0.6890000000000001
206,Rnf126,-0.341902795,0.789
207,Zfyve27,-0.47593632399999997,0.7190000000000001
208,Gup1,-0.236163541,0.8490000000000001
209,Srgap3,-0.16326792,0.893
210,5830433M19Rik,-0.483984853,0.715
211,Rhog,-0.40545145,0.755
212,Hmgcl,-0.194294815,0.8740000000000001
213,Wdr21,-0.323732592,0.799
214,Alad,-0.41119543299999994,0.752
215,Klhdc4,-0.263611599,0.833
216,Plxdc1,-0.66428809,0.631
217,D11Ertd498e,-0.48196850700000005,0.716
218,2700078E11Rik,-0.567040593,0.675
219,1810034M08Rik,-0.288064643,0.8190000000000001
220,Pigx,-0.258425153,0.836
221,Hint2,-0.270555993,0.8290000000000001
222,Ptpn2,-0.44026347600000004,0.737
223,Leng1,-0.336427665,0.792
224,6530403A03Rik,-0.37145968100000004,0.773
225,Senp2,-0.26015189699999997,0.835
226,Bmpr1a,-0.204233052,0.868
227,Stau2,-0.367731785,0.775
228,Pck2,-0.24982229399999997,0.841
229,Cdadc1,-0.356605547,0.7809999999999999
230,Snrk,-0.256700472,0.8370000000000001
231,Rgs3,-0.288064643,0.8190000000000001
232,Pitpnm1,-0.179514657,0.883
233,Olfm1,-0.204233052,0.868
234,Echdc2,-0.286304185,0.82
235,Rngtt,-0.345564459,0.787
236,Mrgprf,-0.332789088,0.794
237,B4galt4,-0.397828209,0.759
238,Fbf1,-0.307572802,0.8079999999999999
239,Kcnma1,-0.579921884,0.669
240,Ankrd25,-0.44222232899999997,0.736
241,Asph,-0.15842936300000002,0.8959999999999999
242,Rabggta,-0.212567535,0.863
243,Ptprr,-0.272297327,0.828
244,Kcnq2,-0.46992925799999996,0.722
245,Glul,-0.418889825,0.748
246,Eif4b,-0.171368418,0.888
247,2410195B05Rik,-0.76121314,0.59
248,Lzts2,-0.42081985200000005,0.747
249,0610037L13Rik,-0.38270151700000005,0.767
250,Prkrir,-0.217591435,0.86
251,Bfar,-0.194294815,0.8740000000000001
252,Sh3glb2,-0.15682011,0.897
253,Icmt,-0.272297327,0.828
254,Olfm3,-0.47593632399999997,0.7190000000000001
255,Gnpda2,-0.39213709700000005,0.762
256,Sidt1,-0.520769439,0.6970000000000001
257,2810028N01Rik,-0.471928835,0.721
258,Prkcbp1,-0.46394709999999995,0.725
259,4930504E06Rik,-0.18278607600000002,0.8809999999999999
260,Katnb1,-0.267079618,0.831
261,Sepn1,-0.18606493,0.879
262,Usp52,-0.35291578700000004,0.7829999999999999
263,4632419K20Rik,-0.60823228,0.6559999999999999
264,Apbb2,-0.184424571,0.88
265,Cnn3,-0.20257191800000002,0.8690000000000001
266,Map4k3,-0.227692025,0.8540000000000001
267,Aof2,-0.169744676,0.889
268,Ppp2r5b,-0.177881725,0.884
269,Inhbb,-0.788364747,0.579
270,Ube3c,-0.256700472,0.8370000000000001
271,C230093N12Rik,-0.595096878,0.662
272,Marveld2,-0.5353317329999999,0.69
273,6330406I15Rik,-0.41311518700000005,0.7509999999999999
274,Car9,-0.9517638140000001,0.517
275,Dnmbp,-0.320125852,0.8009999999999999
276,Slc16a11,-0.40545145,0.755
277,Mtmr13,-0.24639546399999998,0.843
278,Hnrpll,-0.169744676,0.889
279,Epn2,-0.1376478,0.909
280,Wdr10,-0.520769439,0.6970000000000001
281,Trim24,-0.369594529,0.774
282,Malat1,-0.5374241120000001,0.6890000000000001
283,Ryr1,-0.327348371,0.797
284,Cmya5,-0.8008773579999999,0.574
285,Crocc,-0.606034724,0.657
286,Rasd2,-0.43245455200000005,0.741
287,Trim13,-0.19759996,0.872
288,AI848100,-0.340075442,0.79
289,Triobp,-1.126580497,0.45799999999999996
290,Gstz1,-0.239566125,0.847
291,Plf,-0.795859283,0.5760000000000001
292,2610312B22Rik,-0.298672743,0.813
