gene,82QvsWT_log2FoldChange,82QvsWT_padj,591vsWT_log2FoldChange,591vsWT_padj,591vs82Q_log2FoldChange,591vs82Q_padj
Grik1,-1.095428991276,7.41437867224023e-47,-0.5804270289187,4.0506444302493e-12,0.515001962357298,4.28363382518802e-10
Itpr1,-1.46330059804415,8.19294863413998e-64,-0.337567239277622,0.00470072759257718,1.12573335876653,5.28827805957633e-37
Kcng4,-0.858932263255208,1.99342151134112e-33,-0.433232925492209,1.07920743504782e-07,0.425699337762999,2.55802791927693e-08
Trpc3,-1.39266225817019,1.14113340282705e-84,-0.573011716178323,7.24428572355935e-13,0.819650541991871,9.04981597890803e-29
