,Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
989,Fbxo2,-0.300189376,0.812145783
990,Pot1a,-0.365318745,0.776297343
991,Oprl1,0.385414928,1.306235415
992,Plekho2,-0.27179247100000004,0.8282898000000001
993,Cars,0.314054787,1.243196879
994,Ppfibp1,0.32194984,1.25001884
995,Cox7a2l,0.209479183,1.156270692
996,Magi2,0.196650252,1.146034322
997,Inpp5e,-0.23547461600000003,0.849405517
998,Pla2g5,0.6573283670000001,1.577159279
999,Ctnnb1,-0.12891124199999998,0.914521351
1000,Zc3h6,-0.36297333200000004,0.777560409
1001,Pomc,0.772301793,1.707992681
1002,Dip2c,0.17167806600000002,1.1263678540000002
1003,Micu3,-0.236494929,0.8488050070000001
1004,Mef2d,-0.216139644,0.8608658579999999
1005,Cttnbp2,-0.23785880199999998,0.848002955
1006,Mgat4b,-0.27728942,0.82513986
1007,Tmem145,-0.44196853,0.736129488
1008,Igsf8,-0.27206248,0.828134796
1009,Nmral1,-0.371486425,0.77298567
1010,C77370,0.253228873,1.1918716409999999
1011,Fam175a,-0.287099421,0.819548128
1012,Large,-0.20510727199999998,0.8674741840000001
1013,Rgs2,0.30620279899999997,1.2364490559999999
1014,Fgf7,-0.490739495,0.711660223
1015,Tle3,0.29145661,1.2238753340000001
1016,Cycs,0.286648482,1.219803265
1017,Marc2,0.24956478199999999,1.1888484209999999
1018,Wiz,-0.30477324100000003,0.8095694520000001
1019,Ap1s2,0.24504415699999998,1.185129044
1020,Fmnl3,-0.47151905299999997,0.721204822
1021,Morn1,-0.5180670620000001,0.698306806
1022,Klf16,-0.563400745,0.6767051409999999
1023,Gm20507,-0.53307426,0.69108053
1024,P4ha1,0.287704587,1.220696532
1025,Ehd3,0.182964638,1.135214276
1026,Pvrl4,-0.44472324799999996,0.734725245
1027,Caln1,-0.227788076,0.853943145
1028,Mfsd2a,0.462716013,1.378133848
1029,Id4,-0.271510154,0.8284519020000001
1030,Slc14a1,-0.40760883700000006,0.753871827
1031,Rnf19b,-0.24955123699999998,0.8411580240000001
1032,Rnpep,0.280908376,1.214959629
1033,Lypd6,-0.417796522,0.7485670640000001
1034,Trim30a,0.647543192,1.566498287
1035,Tpbg,0.545941889,1.459973203
1036,Gm15513,-0.5698254110000001,0.6736983120000001
1037,Bag2,0.37139007399999996,1.293598647
1038,Fam110a,-0.672883868,0.627251592
1039,Folh1,0.45021766399999996,1.366246371
1040,2610002M06Rik,0.16652254800000002,1.122349925
1041,Cab39,0.159452721,1.116863382
1042,Sh3bgrl,0.236966729,1.178512229
1043,Ascl1,-0.68616271,0.621504736
1044,Nfyb,0.249070913,1.1884415190000002
1045,Strn,0.21855947399999998,1.163571184
1046,Clstn3,-0.164425239,0.8922839290000001
1047,Lysmd3,0.237881675,1.17925987
1048,Lpo,0.613439023,1.5299017680000002
1049,Slc6a17,-0.17481602699999998,0.88588048
1050,Reps1,-0.173046216,0.886967891
1051,Arl3,-0.24314256,0.8449028909999999
1052,Nfix,-0.170708716,0.888406149
1053,Hist1h1b,0.480634391,1.395357107
1054,Uba3,0.18681994100000002,1.138251958
1055,Pfkp,0.177311227,1.130774478
1056,Pcdhb11,0.462128073,1.377572333
1057,Ecm1,-0.597585201,0.660859183
1058,Ahnak,0.257722467,1.195589778
1059,Fads3,0.387253106,1.307900786
1060,Sema4c,-0.37358579,0.7718616640000001
1061,Fnip2,-0.18772462,0.877989371
1062,Msx2,-0.473496288,0.720217077
1063,Nr2f6,-0.317340016,0.8025482209999999
1064,Abcc9,0.43697494299999995,1.353762766
1065,Cry2,-0.311172575,0.805986414
1066,Dnaja1,0.178488061,1.1316972490000001
1067,Cd109,0.637272477,1.555385805
1068,Cpa2,0.547379136,1.4614283869999998
1069,Dync1i1,0.19484454399999998,1.144600819
1070,Zfp367,0.239698023,1.180745488
1071,Gas6,0.22142674,1.165886009
1072,Elovl6,0.18855179800000002,1.139619173
1073,Dgkh,-0.369732141,0.773926175
1074,Prom1,-0.332410812,0.7942082140000001
1075,Arpp21,-0.169189289,0.8893422990000001
1076,Hdc,-0.433071256,0.740683315
1077,Trmt11,-0.282764673,0.82201426
1078,Itga3,-0.328976899,0.796100846
1079,Tmco3,0.189978525,1.140746735
1080,Eya2,-0.575879931,0.670876944
1081,Pan2,-0.287314236,0.8194261070000001
1082,Cyp2j12,0.513100982,1.427114393
1083,Gnl2,-0.22297509,0.8567967479999999
1084,Cpne4,0.585132718,1.500176989
1085,Khdrbs3,0.284834355,1.218270378
1086,Mtfr1l,-0.19111155,0.875930585
1087,Zc3h4,-0.231910437,0.851506568
1088,Sepp1,0.267476052,1.20370015
1089,Dok7,0.392837971,1.312973658
1090,Hist1h4i,-0.615806639,0.65256493
1091,Plekhh1,-0.405640244,0.754901206
1092,Chaf1a,-0.669891834,0.628553811
1093,Pacrgl,0.52753824,1.44146743
1094,Agpat5,0.18120284399999997,1.133828819
1095,Snx25,-0.204323664,0.867945485
1096,Pvrl2,-0.49740621399999996,0.708379214
1097,Tinf2,-0.265506148,0.8319068209999999
1098,Rims1,-0.20429694699999998,0.867961559
1099,Snap91,-0.138571009,0.908418499
1100,Gmpr,-0.376124412,0.77050466
1101,Rab11fip4,-0.22373054899999997,0.8563482090000001
1102,Sprn,0.22813916199999998,1.171323161
1103,Fam222a,-0.47214722600000003,0.720890865
1104,Fbxo21,0.203744128,1.151683365
1105,Tspyl5,0.20386987899999998,1.151783755
1106,Pitpnc1,-0.225171268,0.8554934609999999
1107,Rgs19,0.432831079,1.349879922
1108,Pik3c2b,-0.437178612,0.738577587
1109,Sv2c,0.374682575,1.296554253
1110,Usp54,0.215956688,1.161473862
