Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
2610002M06Rik,0.166522548,1.122349925
Cab39,0.159452721,1.116863382
Sh3bgrl,0.236966729,1.178512229
Ascl1,-0.68616271,0.621504736
Nfyb,0.249070913,1.188441519
Strn,0.218559474,1.163571184
Clstn3,-0.164425239,0.892283929
Lysmd3,0.237881675,1.17925987
Lpo,0.613439023,1.529901768
Slc6a17,-0.174816027,0.88588048
Reps1,-0.173046216,0.886967891
Arl3,-0.24314256,0.844902891
Nfix,-0.170708716,0.888406149
Hist1h1b,0.480634391,1.395357107
Uba3,0.186819941,1.138251958
Pfkp,0.177311227,1.130774478
Pcdhb11,0.462128073,1.377572333
Ecm1,-0.597585201,0.660859183
Ahnak,0.257722467,1.195589778
Fads3,0.387253106,1.307900786
Sema4c,-0.37358579,0.771861664
Fnip2,-0.18772462,0.877989371
Msx2,-0.473496288,0.720217077
Nr2f6,-0.317340016,0.802548221
Abcc9,0.436974943,1.353762766
Cry2,-0.311172575,0.805986414
Dnaja1,0.178488061,1.131697249
Cd109,0.637272477,1.555385805
Cpa2,0.547379136,1.461428387
Dync1i1,0.194844544,1.144600819
Zfp367,0.239698023,1.180745488
Gas6,0.22142674,1.165886009
Elovl6,0.188551798,1.139619173
Dgkh,-0.369732141,0.773926175
NA,-0.314615786,0.804065098
Prom1,-0.332410812,0.794208214
Arpp21,-0.169189289,0.889342299
Hdc,-0.433071256,0.740683315
Trmt11,-0.282764673,0.82201426
Itga3,-0.328976899,0.796100846
Tmco3,0.189978525,1.140746735
Eya2,-0.575879931,0.670876944
Pan2,-0.287314236,0.819426107
Cyp2j12,0.513100982,1.427114393
Gnl2,-0.22297509,0.856796748
Cpne4,0.585132718,1.500176989
Khdrbs3,0.284834355,1.218270378
Mtfr1l,-0.19111155,0.875930585
Zc3h4,-0.231910437,0.851506568
Sepp1,0.267476052,1.20370015
Dok7,0.392837971,1.312973658
Hist1h4i,-0.615806639,0.65256493
Plekhh1,-0.405640244,0.754901206
Chaf1a,-0.669891834,0.628553811
Pacrgl,0.52753824,1.44146743
Agpat5,0.181202844,1.133828819
Snx25,-0.204323664,0.867945485
Pvrl2,-0.497406214,0.708379214
Tinf2,-0.265506148,0.831906821
Rims1,-0.204296947,0.867961559
Snap91,-0.138571009,0.908418499
Gmpr,-0.376124412,0.77050466
Rab11fip4,-0.223730549,0.856348209
Sprn,0.228139162,1.171323161
Fam222a,-0.472147226,0.720890865
Fbxo21,0.203744128,1.151683365
Tspyl5,0.203869879,1.151783755
Pitpnc1,-0.225171268,0.855493461
Rgs19,0.432831079,1.349879922
Pik3c2b,-0.437178612,0.738577587
Sv2c,0.374682575,1.296554253
Usp54,0.215956688,1.161473862
