Gene name,Log2(Fold Expression) (ATXN2-BAC-Q72 vs. WT),Fold Expression (ATXN2-BAC-Q72 vs. WT)
Panx1,0.710711122,1.636610623
Itgb5,-0.323790789,0.79896777
Kif13b,-0.329915613,0.795583018
Grpel2,-0.335164011,0.792694015
Trpc5,-0.577681661,0.670039633
Usp11,0.260323346,1.197747121
Cct3,0.204724252,1.152466051
Alcam,0.307737648,1.237765185
Gria4,-0.215720356,0.861116086
Cdk17,-0.271749079,0.828314713
Ski,-0.255550772,0.837667281
Dnm1,-0.202928394,0.868785305
Rell1,-0.57800734,0.669888393
Pnrc1,-0.272922933,0.827641026
Rab15,0.204475403,1.15226728
Gaa,0.265365124,1.201940203
Haghl,-0.311108023,0.806022478
Itgav,0.509992242,1.424042538
Slc32a1,-0.3248671,0.798371929
Appl2,-0.293523818,0.81590675
Slc25a38,0.347493827,1.272348451
Epor,-0.825761199,0.564184447
Trim25,0.846984982,1.798737901
Crot,0.277569681,1.212151212
Marveld2,-0.510902345,0.701783365
Gbp7,0.581029296,1.495916135
Zfp365,0.298485994,1.229853093
Plekhg4,-0.812523901,0.569384884
Fads1,-0.347475529,0.785958189
2610002J02Rik,-0.354642689,0.782063312
Gad1,-0.258201212,0.836129777
Btbd3,-0.254703462,0.838159396
Aldh18a1,0.43377167,1.350760288
Cpeb1,-0.491250157,0.711408365
Fgfr2,-0.320735276,0.800661713
Mal2,0.528188646,1.442117429
Bai1,-0.330652714,0.795176643
Cacnb2,-0.287723064,0.819193933
L3mbtl3,0.405202001,1.324274318
Fam131b,-0.230665296,0.852241791
Gnb2l1,0.196212336,1.145686508
Ptprr,-0.245145172,0.843730891
Mroh1,-0.283595204,0.821541179
Zfp229,0.354806602,1.278814141
Triobp,-0.471547425,0.721190639
Neu4,0.570373714,1.48490817
Gng2,0.238607988,1.179853707
Vrk1,-0.419887125,0.747483104
Thsd7a,0.425825506,1.343340939
Srl,-0.540718794,0.687428326
Efhd1,-0.36756596,0.775089084
Gnas,0.135969639,1.098831093
Cbx4,0.34669891,1.271647587
Chst2,0.327961355,1.255238368
Pcdh9,0.257009774,1.194999301
Tfap2b,-0.377551079,0.769743093
Rhof,0.452709854,1.368608539
Ppp1r16b,-0.37173906,0.772850322
Gmppa,-0.412896901,0.751113638
Tro,0.208030894,1.15511052
Pan3,-0.308893502,0.807260663
Inadl,-0.37249437,0.77244581
Zcchc12,0.610503495,1.52679196
Zdhhc14,-0.30547139,0.80917778
Slc16a1,-0.33421275,0.793216861
Hip1,0.305417031,1.235775804
Fkbp5,0.638336539,1.556533405
Rdx,0.205969229,1.153461003
Adamts10,-0.565286934,0.675820991
Ccndbp1,-0.214616448,0.861775239
Dact1,-0.477236301,0.718352419
Alad,-0.517638266,0.698514386
NA,-0.490734488,0.711662692
Atp10d,0.93106705,1.906685702
Bub3,0.213540763,1.159530495
Spata2l,-0.472077072,0.720925921
Mical2,-0.250931561,0.840353616
Chst8,-0.463100731,0.725425452
Nova1,0.281586379,1.21553074
Iltifb,-0.38030389,0.768275744
Vimp,-0.25908941,0.83561517
Lrrc3b,-0.349636644,0.784781727
Bckdhb,0.33610335,1.262342459
Flrt1,-0.394040436,0.760995361
Adamts18,0.438096642,1.35481573
Rraga,0.256710678,1.194751582
Pwwp2a,-0.256784767,0.836951097
Cd82,0.466005564,1.381279775
Hif3a,0.727941573,1.656274244
Kcna6,-0.320747137,0.80065513
Ndn,0.328236282,1.255477594
Ccsap,-0.352227509,0.783373641
Tacc2,-0.238142908,0.847835977
Bbx,0.288501889,1.221371333
Cul7,-0.371174544,0.773152792
Cdkn2aipnl,0.261171997,1.198451891
Pik3r3,-0.218236193,0.859615741
Rasl11a,0.667308331,1.588107233
Dap,-0.399916708,0.757902038
Sept11,-0.260891646,0.834571959
Speg,-0.291270494,0.817182099
Coro2b,-0.323367298,0.799202334
Pex5l,-0.363518894,0.777266426
NA,0.354494035,1.278537109
Xk,-0.390202552,0.76302247
Cemip,0.466206998,1.381472647
Galnt7,-0.250797898,0.840431477
Irf2bp2,-0.262246549,0.833788541
Pltp,-0.307708502,0.807924003
Vipr1,-0.84843564,0.555386633
Spock1,-0.247806475,0.842175917
Spsb2,-0.702230394,0.614621273
Lurap1l,0.581509411,1.496414044
Cebpd,0.844941199,1.796191535
Parp14,0.685142815,1.607861139
Prokr2,0.923298597,1.896446401
Itpr2,0.398841083,1.318448376
Camk2a,-0.387344509,0.764535549
Klc2,-0.206273898,0.866772989
Prpf38b,-0.280015171,0.823582357
Cd81,-0.18455787,0.879918695
Utrn,0.210982159,1.157475903
Olfm1,-0.239598468,0.846981012
Kcnk2,0.527119577,1.441049184
Naaa,-0.320183456,0.800968018
Gp1bb,-0.276945502,0.825336585
Gnai1,-0.241970077,0.845589826
Fut8,-0.185318321,0.879455009
AI118078,-0.265149325,0.832112603
Tmem200b,-0.61083436,0.654817889
Cct6a,0.189244971,1.140166857
Car4,-0.365337551,0.776287224
Plekhf1,-0.401625961,0.757004635
Spag5,-0.351867318,0.783569247
Stac,-0.523507416,0.695678473
Bmp1,-0.519385457,0.697668955
Abcc4,0.467070788,1.38230003
Ntf3,0.486058593,1.400613203
Nrk,-0.279686809,0.823769828
Cct4,0.193958044,1.143897706
Rgs7,-0.249461532,0.841210328
Galnt6,0.419900864,1.337835621
Akap7,-0.318860471,0.801702862
Basp1,0.575428069,1.490119538
Cyb5a,0.225842744,1.169460184
Arhgef26,-0.282104373,0.82239057
Lxn,-0.310026973,0.806626678
Pola1,-0.33024925,0.795399053
Olfm3,-0.304728985,0.809594287
Unc5b,-0.349749655,0.784720256
Mal,-0.572170675,0.672604029
C4b,0.661236465,1.581437418
Tnfaip6,-0.430858731,0.741820102
Gpr158,0.218620375,1.163620304
Chordc1,0.337827355,1.263851846
Baz2b,-0.213739946,0.862298965
Pvalb,-0.280588239,0.823255278
Mthfd2l,0.491101325,1.40551741
Bcat1,0.30528143,1.235659657
Tprkb,-0.267605036,0.830697411
Qk,-0.243130311,0.844910064
Atp1b2,-0.40696606,0.754207781
Csmd1,0.407199323,1.326108963
Spon1,0.294232458,1.226232424
Phf20,-0.286475271,0.819902764
Clec3b,-0.874603391,0.545403782
Mtss1l,-0.373899668,0.771693753
Nr4a1,-0.542989016,0.686347441
Parp9,0.595743358,1.511251067
