gene,82QvsWT_log2FoldChange,82QvsWT_padj,591vsWT_log2FoldChange,591vsWT_padj,591vs82Q_log2FoldChange,591vs82Q_padj
Gabrg2,-0.197409120526226,2.28070530374366e-05,-0.112904005837518,0.138919380575784,0.0845051146887078,0.115551772273294
Gria3,-0.348783070405857,1.51908602892404e-06,-0.229938667831474,0.0206641985280651,0.118844402574382,0.169546941757228
Gria4,-0.233660315127401,0.000310502903166031,-0.0586266510982819,0.74748174217744,0.175033664029119,0.0108367058070707
Grik2,-0.183039634218196,0.00478612915237425,-0.0475176844877475,0.803772540011705,0.135521949730448,0.0503115810764455
Kcna6,-0.572219831413926,1.70672524570112e-16,-0.434357653390293,2.01043366066945e-08,0.137862178023633,0.104268443432023
Kcnj16,-0.273817390573669,3.12898162454556e-05,-0.122859911332134,0.341777948776987,0.150957479241536,0.0386079969036494
Kcnq4,-0.659880495341616,1.08079728219488e-05,-0.326688047484275,0.210632875272021,0.33319244785734,0.0506388427306715
Kcnt1,-0.149404667006784,0.00631192096520254,-0.0858972470963898,0.435027782002858,0.0635074199103942,0.32419425339959
