Gene name,Log2(Fold expression) (Atxn1(154Q/2Q) vs. WT),Fold Expression (Atxn1(154Q/2Q) vs. WT)
Dnmt3a,-0.652901329,0.636
4930553F24Rik,-0.265344567,0.832
Ide,-0.182786076,0.881
Kcnb1,-0.356605547,0.781
Arhgap5,-0.488026018,0.713
Mrpl49,-0.224317298,0.856
Txndc4,-0.166502663,0.891
Id4,-0.373327247,0.772
BC025462,-0.229382353,0.853
Add3,-0.215914857,0.861
Tcfap2b,-0.395928676,0.76
Cacna1g,-0.307572802,0.808
Adam23,-0.550042516,0.683
Agt,-0.224317298,0.856
Stk17b,-0.358453971,0.78
Perq1,-0.30222618,0.811
Map3k7ip2,-0.260151897,0.835
Mmd,-0.351074441,0.784
Nnat,-0.506352666,0.704
Asf1a,-0.289827252,0.818
Strn3,-0.164884385,0.892
Leprotl1,-0.263611599,0.833
Kcnc1,-0.444183845,0.735
Paics,-0.189351252,0.877
Zdhhc14,-0.434402824,0.74
Kctd10,-0.336427665,0.792
9530090G24Rik,-0.224317298,0.856
Qars,-0.286304185,0.82
Sara1,-0.19759996,0.872
Dym,-0.329159664,0.796
Dap,-0.422752464,0.746
D2Ertd391e,-0.204233052,0.868
2610034N24Rik,-0.388355457,0.764
Ddx56,-0.40354186,0.756
5031439A09Rik,-0.36215794,0.778
D11Ertd99e,-0.300448367,0.812
Rasl11b,-0.392137097,0.762
Nrbp,-0.222632891,0.857
Dalrd3,-0.214240226,0.862
BC023882,-0.217591435,0.86
Pkig,-0.329159664,0.796
Thoc3,-0.217591435,0.86
4930453N24Rik,-0.274040765,0.827
Sbk1,-0.365871442,0.776
Slc25a29,-0.512513651,0.701
Slc25a29,-0.905088353,0.534
Slc25a29,-0.833927324,0.561
Gdf10,-0.316528107,0.803
Itpka,-0.479954976,0.717
2010107G23Rik,-0.153606979,0.899
AW049765,-0.560642822,0.678
Gdpd5,-0.234465254,0.85
0610039K22Rik,-0.258425153,0.836
BC016198,-0.340075442,0.79
Prpf3,-0.227692025,0.854
Fyttd1,-0.267079618,0.831
Znrf1,-0.454031631,0.73
5830417I10Rik,-0.420819852,0.747
Cluap1,-0.226003675,0.855
MGI:2149786,-0.182786076,0.881
Ttc8,-0.184424571,0.88
Camkk2,-0.336427665,0.792
Bbs2,-0.537424112,0.689
Rnf126,-0.341902795,0.789
Zfyve27,-0.475936324,0.719
Gup1,-0.236163541,0.849
Srgap3,-0.16326792,0.893
5830433M19Rik,-0.483984853,0.715
Rhog,-0.40545145,0.755
Hmgcl,-0.194294815,0.874
Wdr21,-0.323732592,0.799
Alad,-0.411195433,0.752
Klhdc4,-0.263611599,0.833
Plxdc1,-0.66428809,0.631
D11Ertd498e,-0.481968507,0.716
Sec63,-0.258425153,0.836
2700078E11Rik,-0.567040593,0.675
1810034M08Rik,-0.288064643,0.819
Pigx,-0.258425153,0.836
Hint2,-0.270555993,0.829
Ptpn2,-0.440263476,0.737
Leng1,-0.336427665,0.792
6530403A03Rik,-0.371459681,0.773
Senp2,-0.260151897,0.835
Bmpr1a,-0.204233052,0.868
Stau2,-0.367731785,0.775
Pck2,-0.249822294,0.841
Baiap2,-0.30222618,0.811
Cdadc1,-0.356605547,0.781
Snrk,-0.256700472,0.837
Rgs3,-0.288064643,0.819
Pitpnm1,-0.179514657,0.883
Olfm1,-0.204233052,0.868
Echdc2,-0.286304185,0.82
Mbd2,-0.55851652,0.679
Rngtt,-0.345564459,0.787
Mrgprf,-0.332789088,0.794
B4galt4,-0.397828209,0.759
Fbf1,-0.307572802,0.808
Kcnma1,-0.579921884,0.669
Ankrd25,-0.442222329,0.736
Asph,-0.158429363,0.896
0610011L14Rik,-0.401634795,0.757
Rabggta,-0.212567535,0.863
Ptprr,-0.272297327,0.828
Kcnq2,-0.469929258,0.722
Twsg1,-0.873027144,0.546
Glul,-0.418889825,0.748
Eif4b,-0.171368418,0.888
Camk1d,-1.023269779,0.492
2410195B05Rik,-0.76121314,0.59
Lzts2,-0.420819852,0.747
6430548M08Rik,-0.334607229,0.793
0610037L13Rik,-0.382701517,0.767
Prkrir,-0.217591435,0.86
Bfar,-0.194294815,0.874
Sh3glb2,-0.15682011,0.897
Icmt,-0.272297327,0.828
Olfm3,-0.475936324,0.719
Gnpda2,-0.392137097,0.762
Sidt1,-0.520769439,0.697
2810028N01Rik,-0.471928835,0.721
Prkcbp1,-0.4639471,0.725
4930504E06Rik,-0.182786076,0.881
Katnb1,-0.267079618,0.831
Sepn1,-0.18606493,0.879
Usp52,-0.352915787,0.783
4632419K20Rik,-0.60823228,0.656
Apbb2,-0.184424571,0.88
Cnn3,-0.202571918,0.869
Map4k3,-0.227692025,0.854
Aof2,-0.169744676,0.889
Ppp2r5b,-0.177881725,0.884
Inhbb,-0.788364747,0.579
Ube3c,-0.256700472,0.837
C230093N12Rik,-0.595096878,0.662
Marveld2,-0.535331733,0.69
6330406I15Rik,-0.413115187,0.751
Ranbp5,-0.448114897,0.733
Ranbp5,-0.258425153,0.836
Col18a1,-0.560642822,0.678
Car9,-0.951763814,0.517
Dnmbp,-0.320125852,0.801
Slc16a11,-0.40545145,0.755
Mtmr13,-0.246395464,0.843
Hnrpll,-0.169744676,0.889
Epn2,-0.1376478,0.909
Wdr10,-0.520769439,0.697
Trim24,-0.369594529,0.774
Malat1,-0.537424112,0.689
1810073N04Rik,-0.274040765,0.827
Ryr1,-0.327348371,0.797
Cmya5,-0.800877358,0.574
Crocc,-0.606034724,0.657
Rasd2,-0.432454552,0.741
Trim13,-0.19759996,0.872
AI848100,-0.340075442,0.79
Triobp,-1.126580497,0.458
Gstz1,-0.239566125,0.847
Plf,-0.795859283,0.576
2610312B22Rik,-0.298672743,0.813
Zfp294,-0.857259828,0.552
Nup88,-0.19759996,0.872
1300001I01Rik,-0.194294815,0.874
Lman1,-0.394031641,0.761
Lman1,-0.502259911,0.706
1200015F23Rik,-0.320125852,0.801
1600012H06Rik,-0.184424571,0.88
G6pc3,-0.442222329,0.736
Pdrg1,-0.217591435,0.86
Foxk2,-0.263611599,0.833
2810025M15Rik,-0.545824107,0.685
2310015N07Rik,-0.265344567,0.832
Chn2,-0.336427665,0.792
Vps25,-0.16326792,0.893
B930013M22Rik,-0.265344567,0.832
4921526G09Rik,-0.20756107,0.866
Stx17,-0.281035664,0.823
Ggps1,-0.279283757,0.824
Zfp278,-0.139235797,0.908
Pqlc1,-0.268816758,0.83
Ctnnb1,-0.204233052,0.868
2610002J02Rik,-0.304006187,0.81
Fgfr1op2,-0.258425153,0.836
Arid4b,-0.40354186,0.756
Dtnbp1,-0.232768963,0.851
Sdccag3,-0.267079618,0.831
Mus81,-0.371459681,0.773
Prdm5,-0.234465254,0.85
Rutbc3,-0.40354186,0.756
Hbp1,-0.222632891,0.857
Aatf,-0.204233052,0.868
Ibrdc3,-0.40545145,0.755
Sf3a3,-0.158429363,0.896
Pi4k2a,-0.291592017,0.817
5730472N09Rik,-0.36215794,0.778
D6Wsu116e,-0.334607229,0.793
D6Wsu116e,-0.352915787,0.783
Inpp5a,-0.345564459,0.787
Sec23ip,-0.284545873,0.821
Cdw92,-0.231074664,0.852
Sesn1,-0.199255376,0.871
D330001F17Rik,-0.251538767,0.84
Dnajc11,-0.224317298,0.856
Spag5,-0.810966176,0.57
Spag5,-0.60823228,0.656
Pib5pa,-0.343732465,0.788
6430596G11Rik,-0.219269964,0.859
Cerk,-0.314732593,0.804
Tceb3,-0.270555993,0.829
2400001E08Rik,-0.192645078,0.875
Wdr42a,-0.16326792,0.893
B3galnt2,-0.222632891,0.857
BC060631,-0.320125852,0.801
Ppp2r5c,-0.224317298,0.856
Gna11,-0.161653263,0.894
D11Wsu99e,-0.614845103,0.653
A830073O21Rik,-0.371459681,0.773
Fntb,-0.261880711,0.834
Tjp2,-0.284545873,0.821
Rnf123,-0.260151897,0.835
Sbno1,-0.192645078,0.875
Tbl1x,-0.639354798,0.642
Ccm2,-0.428565884,0.743
Extl3,-0.187707155,0.878
C130076O07Rik,-0.210896782,0.864
Slc2a1,-0.336427665,0.792
Lta4h,-0.205896101,0.867
